,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Zack Martin,G,DAL,61,100%,0,0%,5,17%
1,Tyler Biadasz,C,DAL,61,100%,0,0%,5,17%
2,Tyron Smith,T,DAL,61,100%,0,0%,5,17%
3,Terence Steele,T,DAL,61,100%,0,0%,5,17%
4,Connor Williams,G,DAL,61,100%,0,0%,0,0%
5,Dak Prescott,QB,DAL,61,100%,0,0%,0,0%
6,CeeDee Lamb,WR,DAL,49,80%,0,0%,3,10%
7,Dalton Schultz,TE,DAL,48,79%,0,0%,6,21%
8,Ezekiel Elliott,RB,DAL,46,75%,0,0%,0,0%
9,Cedrick Wilson Jr.,WR,DAL,35,57%,0,0%,5,17%
10,Blake Jarwin,TE,DAL,33,54%,0,0%,1,3%
11,Amari Cooper,WR,DAL,29,48%,0,0%,0,0%
12,Noah Brown,WR,DAL,21,34%,0,0%,13,45%
13,Tony Pollard,RB,DAL,18,30%,0,0%,9,31%
14,Jeremy Sprinkle,TE,DAL,14,23%,0,0%,15,52%
15,Connor McGovern,G,DAL,10,16%,0,0%,5,17%
16,Malik Turner,WR,DAL,2,3%,0,0%,12,41%
17,Anthony Brown,CB,DAL,0,0%,69,99%,0,0%
18,Damontae Kazee,SS,DAL,0,0%,68,97%,4,14%
19,Micah Parsons,LB,DAL,0,0%,68,97%,0,0%
20,Jayron Kearse,FS,DAL,0,0%,67,96%,1,3%
21,Jourdan Lewis,CB,DAL,0,0%,60,86%,0,0%
22,Trevon Diggs,CB,DAL,0,0%,50,71%,0,0%
23,Chauncey Golston,DE,DAL,0,0%,49,70%,3,10%
24,Tarell Basham,DE,DAL,0,0%,43,61%,6,21%
25,Osa Odighizuwa,DT,DAL,0,0%,41,59%,4,14%
26,Leighton Vander Esch,LB,DAL,0,0%,40,57%,6,21%
27,Randy Gregory,DE,DAL,0,0%,37,53%,3,10%
28,Justin Hamilton,DT,DAL,0,0%,31,44%,1,3%
29,Brent Urban,DE,DAL,0,0%,30,43%,5,17%
30,Jaylon Smith,LB,DAL,0,0%,28,40%,5,17%
31,Malik Hooker,FS,DAL,0,0%,28,40%,2,7%
32,Maurice Canady,CB,DAL,0,0%,20,29%,15,52%
33,Quinton Bohanna,DT,DAL,0,0%,17,24%,5,17%
34,Austin Faoliu,DT,DAL,0,0%,13,19%,2,7%
35,Azur Kamara,DE,DAL,0,0%,10,14%,14,48%
36,Nahshon Wright,CB,DAL,0,0%,1,1%,22,76%
37,Luke Gifford,LB,DAL,0,0%,0,0%,24,83%
38,C.J. Goodwin,CB,DAL,0,0%,0,0%,19,66%
39,Jabril Cox,LB,DAL,0,0%,0,0%,19,66%
40,Corey Clement,RB,DAL,0,0%,0,0%,19,66%
41,Nick Ralston,FB,DAL,0,0%,0,0%,16,55%
42,Greg Zuerlein,K,DAL,0,0%,0,0%,12,41%
43,Jake McQuaide,LS,DAL,0,0%,0,0%,9,31%
44,Bryan Anger,P,DAL,0,0%,0,0%,9,31%
45,Matt Farniok,G,DAL,0,0%,0,0%,5,17%
0,Taylor Moton,T,CAR,70,100%,0,0%,5,17%
1,Cameron Erving,T,CAR,70,100%,0,0%,5,17%
2,Dennis Daley,G,CAR,70,100%,0,0%,5,17%
3,John Miller,G,CAR,70,100%,0,0%,0,0%
4,Matt Paradis,C,CAR,70,100%,0,0%,0,0%
5,Sam Darnold,QB,CAR,70,100%,0,0%,0,0%
6,Robby Anderson,WR,CAR,59,84%,0,0%,0,0%
7,D.J. Moore,WR,CAR,59,84%,0,0%,0,0%
8,Terrace Marshall Jr.,WR,CAR,50,71%,0,0%,0,0%
9,Ian Thomas,TE,CAR,44,63%,0,0%,0,0%
10,Chuba Hubbard,RB,CAR,33,47%,0,0%,0,0%
11,Tommy Tremble,TE,CAR,27,39%,0,0%,12,41%
12,Rodney Smith,RB,CAR,26,37%,0,0%,0,0%
13,Brandon Zylstra,WR,CAR,13,19%,0,0%,16,55%
14,Colin Thompson,TE,CAR,12,17%,0,0%,12,41%
15,Royce Freeman,RB,CAR,12,17%,0,0%,0,0%
16,Alex Erickson,WR,CAR,8,11%,0,0%,11,38%
17,Giovanni Ricci,FB,CAR,7,10%,0,0%,17,58%
18,Jeremy Chinn,FS,CAR,0,0%,61,100%,7,24%
19,Brian Burns,DE,CAR,0,0%,59,97%,8,28%
20,Donte Jackson,CB,CAR,0,0%,59,97%,7,24%
21,Shaq Thompson,LB,CAR,0,0%,57,93%,1,3%
22,A.J. Bouye,CB,CAR,0,0%,49,80%,0,0%
23,Sean Chandler,SS,CAR,0,0%,48,79%,20,69%
24,Haason Reddick,LB,CAR,0,0%,47,77%,1,3%
25,Derrick Brown,DT,CAR,0,0%,45,74%,7,24%
26,DaQuan Jones,DT,CAR,0,0%,43,70%,7,24%
27,Morgan Fox,DE,CAR,0,0%,42,69%,7,24%
28,Jermaine Carter Jr.,LB,CAR,0,0%,40,65%,10,34%
29,Sam Franklin,SS,CAR,0,0%,27,44%,12,41%
30,Rashaan Melvin,CB,CAR,0,0%,21,34%,6,21%
31,C.J. Henderson,CB,CAR,0,0%,18,29%,1,3%
32,Bravvion Roy,DT,CAR,0,0%,14,23%,0,0%
33,Marquis Haynes,DE,CAR,0,0%,11,18%,1,3%
34,Keith Taylor,CB,CAR,0,0%,10,16%,16,55%
35,Daviyon Nixon,DT,CAR,0,0%,8,13%,0,0%
36,Frankie Luvu,LB,CAR,0,0%,6,10%,21,72%
37,Darryl Johnson,DE,CAR,0,0%,5,8%,9,31%
38,Julian Stanford,LB,CAR,0,0%,2,3%,21,72%
39,Kenny Robinson Jr.,FS,CAR,0,0%,0,0%,17,58%
40,Stantley Thomas-Oliver,CB,CAR,0,0%,0,0%,17,58%
41,Zane Gonzalez,K,CAR,0,0%,0,0%,10,34%
42,Joseph Charlton,P,CAR,0,0%,0,0%,8,28%
43,J.J. Jansen,LS,CAR,0,0%,0,0%,8,28%
44,Trenton Scott,T,CAR,0,0%,0,0%,5,17%
45,Sam Tecklenburg,C,CAR,0,0%,0,0%,5,17%
46,Brady Christensen,T,CAR,0,0%,0,0%,5,17%
