,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rashod Hill,T,MIN,67,100%,0,0%,1,5%
1,Oli Udoh,T,MIN,67,100%,0,0%,1,5%
2,Ezra Cleveland,G,MIN,67,100%,0,0%,1,5%
3,Brian O'Neill,T,MIN,67,100%,0,0%,1,5%
4,Garrett Bradbury,C,MIN,67,100%,0,0%,0,0%
5,Kirk Cousins,QB,MIN,67,100%,0,0%,0,0%
6,Adam Thielen,WR,MIN,66,99%,0,0%,0,0%
7,Justin Jefferson,WR,MIN,59,88%,0,0%,0,0%
8,Tyler Conklin,TE,MIN,57,85%,0,0%,0,0%
9,K.J. Osborn,WR,MIN,42,63%,0,0%,4,18%
10,Dalvin Cook,RB,MIN,33,49%,0,0%,0,0%
11,Alexander Mattison,RB,MIN,23,34%,0,0%,0,0%
12,C.J. Ham,FB,MIN,21,31%,0,0%,13,59%
13,Ben Ellefson,TE,MIN,14,21%,0,0%,9,41%
14,Dede Westbrook,WR,MIN,8,12%,0,0%,7,32%
15,Chris Herndon,TE,MIN,7,10%,0,0%,0,0%
16,Ameer Abdullah,RB,MIN,5,7%,0,0%,7,32%
17,Xavier Woods,FS,MIN,0,0%,78,100%,4,18%
18,Eric Kendricks,LB,MIN,0,0%,78,100%,4,18%
19,Patrick Peterson,CB,MIN,0,0%,78,100%,4,18%
20,Nick Vigil,LB,MIN,0,0%,78,100%,4,18%
21,Harrison Smith,SS,MIN,0,0%,78,100%,2,9%
22,Cameron Dantzler,CB,MIN,0,0%,72,92%,3,14%
23,Danielle Hunter,DE,MIN,0,0%,65,83%,4,18%
24,D.J. Wonnum,DE,MIN,0,0%,53,68%,3,14%
25,Dalvin Tomlinson,DT,MIN,0,0%,50,64%,4,18%
26,Armon Watts,NT,MIN,0,0%,44,56%,1,5%
27,Everson Griffen,DE,MIN,0,0%,43,55%,1,5%
28,Blake Lynch,LB,MIN,0,0%,36,46%,21,95%
29,Mackensie Alexander,CB,MIN,0,0%,33,42%,2,9%
30,Sheldon Richardson,DT,MIN,0,0%,32,41%,3,14%
31,Michael Pierce,NT,MIN,0,0%,21,27%,0,0%
32,Stephen Weatherly,DE,MIN,0,0%,13,17%,16,73%
33,Bashaud Breeland,CB,MIN,0,0%,6,8%,0,0%
34,Ryan Connelly,LB,MIN,0,0%,0,0%,17,77%
35,Camryn Bynum,FS,MIN,0,0%,0,0%,17,77%
36,Josh Metellus,SS,MIN,0,0%,0,0%,17,77%
37,Troy Dye,LB,MIN,0,0%,0,0%,17,77%
38,Harrison Hand,CB,MIN,0,0%,0,0%,15,68%
39,Parry Nickerson,CB,MIN,0,0%,0,0%,12,55%
40,Andrew DePaola,LS,MIN,0,0%,0,0%,7,32%
41,Chazz Surratt,LB,MIN,0,0%,0,0%,7,32%
42,Jordan Berry,P,MIN,0,0%,0,0%,7,32%
43,Greg Joseph,K,MIN,0,0%,0,0%,3,14%
44,Dakota Dozier,G,MIN,0,0%,0,0%,1,5%
45,Christian Darrisaw,T,MIN,0,0%,0,0%,1,5%
46,Mason Cole,C,MIN,0,0%,0,0%,1,5%
0,Wyatt Teller,G,CLE,78,100%,0,0%,2,9%
1,Joel Bitonio,G,CLE,78,100%,0,0%,2,9%
2,Jack Conklin,T,CLE,78,100%,0,0%,2,9%
3,Baker Mayfield,QB,CLE,78,100%,0,0%,0,0%
4,J.C. Tretter,C,CLE,78,100%,0,0%,0,0%
5,Odell Beckham Jr.,WR,CLE,62,79%,0,0%,0,0%
6,Jedrick Wills Jr.,T,CLE,57,73%,0,0%,1,5%
7,Austin Hooper,TE,CLE,56,72%,0,0%,0,0%
8,David Njoku,TE,CLE,52,67%,0,0%,0,0%
9,Donovan Peoples-Jones,WR,CLE,46,59%,0,0%,1,5%
10,Kareem Hunt,RB,CLE,41,53%,0,0%,0,0%
11,Rashard Higgins,WR,CLE,41,53%,0,0%,0,0%
12,Nick Chubb,RB,CLE,37,47%,0,0%,0,0%
13,Harrison Bryant,TE,CLE,29,37%,0,0%,12,55%
14,James Hudson,T,CLE,21,27%,0,0%,2,9%
15,Anthony Schwartz,WR,CLE,15,19%,0,0%,1,5%
16,Demetric Felton,RB,CLE,6,8%,0,0%,19,86%
17,Andy Janovich,FB,CLE,5,6%,0,0%,9,41%
18,Greedy Williams,CB,CLE,0,0%,67,100%,1,5%
19,John Johnson,FS,CLE,0,0%,67,100%,1,5%
20,Denzel Ward,CB,CLE,0,0%,66,99%,1,5%
21,Grant Delpit,SS,CLE,0,0%,65,97%,10,45%
22,Myles Garrett,DE,CLE,0,0%,61,91%,1,5%
23,Malcolm Smith,LB,CLE,0,0%,51,76%,1,5%
24,Malik Jackson,DT,CLE,0,0%,51,76%,0,0%
25,Jadeveon Clowney,DE,CLE,0,0%,49,73%,1,5%
26,Malik McDowell,DT,CLE,0,0%,44,66%,0,0%
27,Troy Hill,CB,CLE,0,0%,42,63%,6,27%
28,Takkarist McKinley,DE,CLE,0,0%,38,57%,0,0%
29,Jeremiah Owusu-Koramoah,LB,CLE,0,0%,35,52%,17,77%
30,M.J. Stewart,SS,CLE,0,0%,24,36%,20,91%
31,Sione Takitaki,LB,CLE,0,0%,24,36%,0,0%
32,Jordan Elliott,DT,CLE,0,0%,15,22%,1,5%
33,Elijah Lee,LB,CLE,0,0%,14,21%,20,91%
