,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Derek Carr,LVR,21,34,196,2,1,4,31,51,84.9,3,6,0,3,0,0,0,0,0,1,0
1,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,13,40,0,10,5,5,17,0,9,0,0
2,Kenyan Drake,LVR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
3,Henry Ruggs III,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,60,0,51,0,0
4,Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,50,1,21,0,0
5,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,45,1,12,1,0
6,Willie Snead,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
7,Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
8,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,4,0,4,0,0
9,Peyton Barber,LVR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
12,Justin Herbert,LAC,25,38,222,3,0,2,10,34,107.6,3,4,0,6,0,0,0,0,0,0,0
13,Ty Long,LAC,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
14,Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,15,117,1,20,5,3,28,1,14,0,0
15,Larry Rountree,LAC,0,0,0,0,0,0,0,0,,11,31,0,9,0,0,0,0,0,0,0
16,Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,2,20,0,21,2,1,9,0,9,0,0
17,Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,70,1,22,0,0
18,Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,36,0,9,0,0
19,Stephen Anderson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,34,0,34,0,0
20,Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,1,13,0,0
21,Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
22,Tevaughn Campbell,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
23,Justin Jackson,LAC,0,0,0,0,0,0,0,0,,3,-4,0,0,4,4,17,0,7,0,0
