,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Adrian Amos,GNB,1,0,0,0,1,0.0,9,6,3,0,0,0,0,0,0
1,De'Vondre Campbell,GNB,1,13,0,13,1,0.0,9,5,4,1,0,0,0,0,0
2,Krys Barnes,GNB,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
3,Preston Smith,GNB,0,0,0,0,0,1.0,4,1,3,1,1,0,0,0,0
4,Dean Lowry,GNB,0,0,0,0,2,0.5,2,0,2,0,1,0,0,0,0
5,Tedarrell Slaton,GNB,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
6,Kenny Clark,GNB,0,0,0,0,0,0.0,6,3,3,2,0,0,0,0,0
7,Darnell Savage Jr.,GNB,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
8,Rashan Gary,GNB,0,0,0,0,0,0.0,5,1,4,0,1,0,0,0,0
9,Kevin King,GNB,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
10,Eric Stokes,GNB,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
11,Chandon Sullivan,GNB,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,Henry Black,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
13,Oren Burks,GNB,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
14,Kingsley Keke,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
15,Tyler Lancaster,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
16,Isaac Yiadom,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
17,Tyler Davis,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Shemar Jean-Charles,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Equanimeous St. Brown,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Malik Taylor,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Jonathan Garvin,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
22,Ladarius Hamilton,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
25,Chidobe Awuzie,CIN,1,42,0,42,2,0.0,6,5,1,1,0,0,0,0,0
26,Trey Hendrickson,CIN,0,0,0,0,0,2.0,4,2,2,2,3,0,0,0,0
27,Jessie Bates III,CIN,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
28,Vonn Bell,CIN,0,0,0,0,0,0.0,9,8,1,3,0,0,0,0,0
29,Logan Wilson,CIN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
30,Germaine Pratt,CIN,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
31,D.J. Reader,CIN,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0
32,B.J. Hill,CIN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
33,Mike Hilton,CIN,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0
34,Akeem Davis-Gaither,CIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
35,Josh Tupou,CIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
36,Eli Apple,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Sam Hubbard,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Stanley Morgan Jr.,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Wyatt Ray,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Cameron Sample,CIN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
41,Trae Waynes,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
