,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Kevin Byard,TEN,1,0,0,0,2,0.0,11,8,3,0,0,1,30,1,0
1,Harold Landry,TEN,0,0,0,0,0,2.0,7,5,2,2,3,0,0,0,0
2,David Long,TEN,0,0,0,0,0,0.0,12,10,2,1,0,0,0,0,0
3,Dane Cruikshank,TEN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
4,Kristian Fulton,TEN,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
5,Janoris Jenkins,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
6,Joseph Jones,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
7,Elijah Molden,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
8,Jeffery Simmons,TEN,0,0,0,0,1,0.0,3,3,0,1,2,0,0,0,0
9,John Simon,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Caleb Farley,TEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
11,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
12,Denico Autry,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
13,Breon Borders,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Rashaan Evans,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Chris Jackson,TEN,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0
18,Dawuane Smoot,JAX,0,0,0,0,0,1.5,3,2,1,1,3,0,0,0,0
19,K'Lavon Chaisson,JAX,0,0,0,0,0,1.0,6,3,3,2,3,0,0,0,0
20,Josh Allen,JAX,0,0,0,0,1,0.5,7,5,2,0,2,0,0,0,0
21,DaVon Hamilton,JAX,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
22,Damien Wilson,JAX,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
23,Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
24,Andrew Wingard,JAX,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
25,Myles Jack,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
26,Shaquill Griffin,JAX,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
27,Tre Herndon,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
28,Jihad Ward,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
29,Malcom Brown,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
30,Chris Claybrooks,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
31,Shaquille Quarterman,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
32,Dakota Allen,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
33,Adam Gotsis,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
