,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Paulson Adebo,NOR,1,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
1,P.J. Williams,NOR,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
2,Demario Davis,NOR,0,0,0,0,0,1.0,8,5,3,1,3,0,0,0,0
3,Carl Granderson,NOR,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
4,Pete Werner,NOR,0,0,0,0,0,0.0,13,8,5,0,0,0,0,0,0
5,Malcolm Jenkins,NOR,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
6,Chauncey Gardner-Johnson,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
7,Cameron Jordan,NOR,0,0,0,0,1,0.0,4,3,1,1,1,0,0,0,0
8,Tanoh Kpassagnon,NOR,0,0,0,0,1,0.0,4,3,1,0,2,0,0,0,0
9,Montravius Adams,NOR,0,0,0,0,1,0.0,3,1,2,1,0,0,0,0,0
10,Payton Turner,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Shy Tuttle,NOR,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
12,Marcus Williams,NOR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
13,Andrew Dowell,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Garrett Griffin,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Jeff Heath,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Albert Huggins,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Marshon Lattimore,NOR,0,0,0,0,6,0.0,1,1,0,0,0,0,0,0,0
18,Ty Montgomery,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Malcolm Roach,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Cole Holcomb,WAS,1,23,0,23,1,0.0,7,3,4,0,0,0,0,0,0
23,Daron Payne,WAS,0,0,0,0,0,1.0,3,3,0,1,1,1,6,0,0
24,Chase Young,WAS,0,0,0,0,0,1.0,3,1,2,0,1,0,0,0,1
25,Landon Collins,WAS,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
26,Montez Sweat,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
27,Matthew Ioannidis,WAS,0,0,0,0,0,0.0,4,2,2,0,3,0,0,0,0
28,Kamren Curl,WAS,0,0,0,0,1,0.0,3,1,2,1,0,0,0,0,0
29,Khaleke Hudson,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
30,William Jackson III,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Jonathan Allen,WAS,0,0,0,0,0,0.0,2,0,2,0,3,0,0,0,0
32,Jamin Davis,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Kendall Fuller,WAS,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
34,Bobby McCain,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,James Smith-Williams,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Dustin Hopkins,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,David Mayo,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Jared Norris,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Tim Settle,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Benjamin St-Juste,WAS,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
41,Casey Toohill,WAS,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
