,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Mike Glennon,NYG,16,25,196,1,2,0,0,35,68.1,2,2,0,2,0,0,0,0,0,1,0
1,Daniel Jones,NYG,5,13,98,0,0,0,0,38,65.5,3,9,0,6,0,0,0,0,0,0,0
2,Kadarius Toney,NYG,0,1,0,0,0,0,0,0,39.6,1,7,0,7,13,10,189,0,38,0,0
3,Devontae Booker,NYG,0,0,0,0,0,0,0,0,,16,42,1,14,4,3,16,1,7,0,0
4,Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,2,9,0,5,1,0,0,0,0,0,0
5,Elijhaa Penny,NYG,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
6,Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,55,0,18,0,0
7,Kyle Rudolph,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
8,John Ross,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,13,0,13,0,0
9,C.J. Board,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,7,0,5,0,0
10,Collin Johnson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
11,Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
14,Dak Prescott,DAL,22,32,302,3,1,2,10,49,116.9,2,6,0,6,0,0,0,0,0,1,1
15,Cedrick Wilson Jr.,DAL,1,1,22,0,0,0,0,22,118.7,1,6,0,6,1,1,35,0,35,0,0
16,Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,21,110,1,15,3,2,2,1,4,0,0
17,Tony Pollard,DAL,0,0,0,0,0,0,0,0,,14,75,0,17,4,4,28,0,13,1,0
18,CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,4,0,4,6,4,84,1,49,0,0
19,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,79,0,30,0,0
20,Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,60,1,24,0,0
21,Noah Brown,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,36,0,22,0,0
