,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Justin Fields,CHI,12,20,111,1,0,2,10,18,91.9,3,4,0,3,0,0,0,0,0,1,0
1,Andy Dalton,CHI,1,1,8,0,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,0,0
2,Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,18,75,0,11,0,0,0,0,0,0,0
3,Damien Williams,CHI,0,0,0,0,0,0,0,0,,16,64,1,14,3,2,20,0,18,0,0
4,Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,0,15,0,0
5,Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,12,0,0
6,Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,14,0,0
7,Marquise Goodwin,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
8,Jesper Horsted,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
11,Derek Carr,LVR,22,35,206,0,1,3,18,29,67.1,3,10,0,8,0,0,0,0,0,0,0
12,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,15,48,1,11,5,4,19,0,8,0,0
13,Kenyan Drake,LVR,0,0,0,0,0,0,0,0,,2,11,0,8,1,0,0,0,0,0,0
14,Nathan Peterman,LVR,0,0,0,0,0,0,0,0,,2,2,0,1,0,0,0,0,0,0,0
15,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,56,0,17,0,0
16,Henry Ruggs III,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,51,0,29,0,0
17,Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,45,0,29,0,0
18,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,22,0,12,0,0
19,Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
20,Jalen Richard,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
21,Willie Snead,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
