,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Dawson Knox,BUF,4,3,117,1,3,97,32.3,20,6.7,26.5,0,,0,0.0,0,156.2
1,Emmanuel Sanders,BUF,5,3,54,2,3,52,17.3,2,0.7,15.8,0,,0,0.0,0,136.7
2,Zack Moss,BUF,4,3,55,0,3,-2,-0.7,57,19.0,0.5,1,3.0,1,25.0,0,116.7
3,Stefon Diggs,BUF,5,2,69,0,2,48,24.0,21,10.5,18.0,0,,0,0.0,0,87.5
4,Cole Beasley,BUF,2,1,5,0,,-2,-2.0,7,7.0,6.5,0,,0,0.0,0,56.2
5,Gabriel Davis,BUF,1,1,16,0,1,13,13.0,3,3.0,13.0,0,,0,0.0,0,118.7
6,Tommy Sweeney,BUF,1,1,1,0,,1,1.0,0,0.0,1.0,0,,0,0.0,0,79.2
7,Devin Singletary,BUF,2,1,-2,0,,-4,-4.0,2,2.0,-3.0,0,,1,50.0,0,56.2
9,Mecole Hardman,KAN,12,9,76,0,3,53,5.9,23,2.6,6.2,0,,0,0.0,1,56.2
10,Tyreek Hill,KAN,13,7,63,0,4,20,2.9,43,6.1,5.9,1,7.0,2,15.4,1,35.1
11,Travis Kelce,KAN,10,6,57,1,4,38,6.3,19,3.2,10.4,3,2.0,0,0.0,0,109.2
12,Darrel Williams,KAN,5,3,18,0,1,5,1.7,13,4.3,1.6,0,,1,20.0,0,67.1
13,Byron Pringle,KAN,2,2,11,1,2,8,4.0,3,1.5,4.0,0,,0,0.0,0,129.2
14,Jerick McKinnon,KAN,2,2,13,0,,-5,-2.5,18,9.0,-2.5,0,,0,0.0,0,93.7
15,Demarcus Robinson,KAN,2,1,8,0,,5,5.0,3,3.0,18.5,0,,0,0.0,0,60.4
16,Josh Gordon,KAN,1,1,11,0,1,11,11.0,0,0.0,11.0,0,,0,0.0,0,112.5
17,Clyde Edwards-Helaire,KAN,2,1,11,0,1,-4,-4.0,15,15.0,-5.0,0,,1,50.0,0,66.7
18,Blake Bell,KAN,1,1,4,0,,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3
