,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Ben Bartch,T,JAX,71,100%,0,0%,3,12%
1,Jawaan Taylor,T,JAX,71,100%,0,0%,3,12%
2,Andrew Norwell,G,JAX,71,100%,0,0%,3,12%
3,Cam Robinson,T,JAX,71,100%,0,0%,0,0%
4,Trevor Lawrence,QB,JAX,71,100%,0,0%,0,0%
5,Marvin Jones,WR,JAX,66,93%,0,0%,0,0%
6,Brandon Linder,G,JAX,56,79%,0,0%,0,0%
7,Laviska Shenault Jr.,WR,JAX,52,73%,0,0%,0,0%
8,Dan Arnold,TE,JAX,52,73%,0,0%,0,0%
9,James Robinson,RB,JAX,48,68%,0,0%,0,0%
10,Jamal Agnew,WR,JAX,45,63%,0,0%,11,42%
11,Tavon Austin,WR,JAX,24,34%,0,0%,0,0%
12,Chris Manhertz,TE,JAX,22,31%,0,0%,10,38%
13,Carlos Hyde,RB,JAX,18,25%,0,0%,0,0%
14,Jacob Hollister,TE,JAX,15,21%,0,0%,8,31%
15,Tyler Shatley,G,JAX,15,21%,0,0%,3,12%
16,Luke Farrell,TE,JAX,8,11%,0,0%,12,46%
17,Dare Ogunbowale,RB,JAX,5,7%,0,0%,15,58%
18,Andrew Wingard,FS,JAX,0,0%,64,100%,8,31%
19,Shaquill Griffin,CB,JAX,0,0%,64,100%,5,19%
20,Rayshawn Jenkins,SS,JAX,0,0%,63,98%,10,38%
21,Damien Wilson,LB,JAX,0,0%,55,86%,8,31%
22,Josh Allen,LB,JAX,0,0%,43,67%,6,23%
23,Malcom Brown,DT,JAX,0,0%,43,67%,6,23%
24,Chris Claybrooks,CB,JAX,0,0%,41,64%,7,27%
25,Dawuane Smoot,DE,JAX,0,0%,41,64%,0,0%
26,Adam Gotsis,DE,JAX,0,0%,39,61%,9,35%
27,DaVon Hamilton,DT,JAX,0,0%,35,55%,11,42%
28,Myles Jack,LB,JAX,0,0%,34,53%,0,0%
29,Tre Herndon,CB,JAX,0,0%,33,52%,7,27%
30,K'Lavon Chaisson,LB,JAX,0,0%,33,52%,4,15%
31,Jihad Ward,LB,JAX,0,0%,27,42%,8,31%
32,Nevin Lawson,CB,JAX,0,0%,21,33%,11,42%
33,Shaquille Quarterman,LB,JAX,0,0%,18,28%,14,54%
34,Taven Bryan,DT,JAX,0,0%,18,28%,0,0%
35,Jay Tufele,DT,JAX,0,0%,13,20%,0,0%
36,Dakota Allen,LB,JAX,0,0%,7,11%,15,58%
37,Rudy Ford,SS,JAX,0,0%,6,9%,17,65%
38,Chapelle Russell,LB,JAX,0,0%,5,8%,18,69%
39,Daniel Thomas,SS,JAX,0,0%,1,2%,17,65%
40,Andre Cisco,SS,JAX,0,0%,0,0%,17,65%
41,Logan Cooke,P,JAX,0,0%,0,0%,9,35%
42,Ross Matiscik,LS,JAX,0,0%,0,0%,5,19%
43,Will Richardson,T,JAX,0,0%,0,0%,3,12%
44,Matthew Wright,K,JAX,0,0%,0,0%,3,12%
0,Taylor Lewan,T,TEN,64,100%,0,0%,6,23%
1,David Quessenberry,G,TEN,64,100%,0,0%,6,23%
2,Nate Davis,G,TEN,64,100%,0,0%,6,23%
3,Ryan Tannehill,QB,TEN,64,100%,0,0%,0,0%
4,Ben Jones,C,TEN,64,100%,0,0%,0,0%
5,Derrick Henry,RB,TEN,49,77%,0,0%,0,0%
6,Marcus Johnson,WR,TEN,48,75%,0,0%,2,8%
7,A.J. Brown,WR,TEN,41,64%,1,1%,0,0%
8,MyCole Pruitt,TE,TEN,38,59%,0,0%,6,23%
9,Rodger Saffold,G,TEN,37,58%,0,0%,2,8%
10,Geoff Swaim,TE,TEN,36,56%,0,0%,14,54%
11,Chester Rogers,WR,TEN,31,48%,0,0%,2,8%
12,Anthony Firkser,TE,TEN,27,42%,0,0%,5,19%
13,Corey Levin,C,TEN,27,42%,0,0%,4,15%
14,Josh Reynolds,WR,TEN,18,28%,0,0%,0,0%
15,Jeremy McNichols,RB,TEN,15,23%,0,0%,0,0%
16,Cameron Batson,WR,TEN,10,16%,0,0%,4,15%
17,Khari Blasingame,FB,TEN,6,9%,0,0%,16,62%
18,Kendall Lamm,T,TEN,1,2%,0,0%,6,23%
19,David Long,LB,TEN,0,0%,71,100%,0,0%
20,Kevin Byard,FS,TEN,0,0%,71,100%,0,0%
21,Janoris Jenkins,CB,TEN,0,0%,70,99%,0,0%
22,Harold Landry,LB,TEN,0,0%,65,92%,0,0%
23,Dane Cruikshank,SS,TEN,0,0%,64,90%,7,27%
24,Jeffery Simmons,DT,TEN,0,0%,58,82%,3,12%
25,Chris Jackson,CB,TEN,0,0%,56,79%,12,46%
26,Denico Autry,DE,TEN,0,0%,48,68%,3,12%
27,Kristian Fulton,CB,TEN,0,0%,46,65%,0,0%
28,Rashaan Evans,LB,TEN,0,0%,33,47%,0,0%
29,Teair Tart,DT,TEN,0,0%,31,44%,6,23%
30,Amani Bledsoe,DE,TEN,0,0%,28,39%,5,19%
31,Caleb Farley,CB,TEN,0,0%,24,34%,4,15%
32,Olasunkanmi Adeniyi,LB,TEN,0,0%,23,32%,20,77%
33,Elijah Molden,CB,TEN,0,0%,23,32%,7,27%
34,Naquan Jones,DT,TEN,0,0%,23,32%,3,12%
35,John Simon,DE,TEN,0,0%,19,27%,3,12%
36,Monty Rice,LB,TEN,0,0%,12,17%,7,27%
37,Caraun Reid,DT,TEN,0,0%,12,17%,0,0%
38,Nick Dzubnar,LB,TEN,0,0%,1,1%,20,77%
39,Joseph Jones,LB,TEN,0,0%,1,1%,20,77%
40,Matthias Farley,FS,TEN,0,0%,0,0%,20,77%
41,Breon Borders,CB,TEN,0,0%,0,0%,15,58%
42,Jamal Carter,LB,TEN,0,0%,0,0%,13,50%
43,Randy Bullock,K,TEN,0,0%,0,0%,13,50%
44,Johnny Townsend,P,TEN,0,0%,0,0%,10,38%
45,Morgan Cox,LS,TEN,0,0%,0,0%,10,38%
46,Dillon Radunz,T,TEN,0,0%,0,0%,6,23%
