,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rashawn Slater,T,LAC,75,100%,0,0%,5,16%
1,Matt Feiler,G,LAC,75,100%,0,0%,5,16%
2,Storm Norton,T,LAC,75,100%,0,0%,5,16%
3,Justin Herbert,QB,LAC,75,100%,0,0%,0,0%
4,Corey Linsley,C,LAC,75,100%,0,0%,0,0%
5,Michael Schofield,G,LAC,70,93%,0,0%,5,16%
6,Keenan Allen,WR,LAC,68,91%,0,0%,0,0%
7,Mike Williams,WR,LAC,58,77%,0,0%,0,0%
8,Austin Ekeler,RB,LAC,53,71%,0,0%,0,0%
9,Jared Cook,TE,LAC,50,67%,0,0%,0,0%
10,Jalen Guyton,WR,LAC,43,57%,0,0%,6,19%
11,Donald Parham,TE,LAC,40,53%,0,0%,5,16%
12,Joshua Kelley,RB,LAC,26,35%,0,0%,1,3%
13,Josh Palmer,WR,LAC,16,21%,0,0%,2,6%
14,Stephen Anderson,TE,LAC,15,20%,0,0%,6,19%
15,Oday Aboushi,G,LAC,5,7%,0,0%,0,0%
16,K.J. Hill,WR,LAC,4,5%,0,0%,3,9%
17,Gabe Nabers,FB,LAC,2,3%,0,0%,20,63%
18,Nasir Adderley,FS,LAC,0,0%,72,100%,3,9%
19,Derwin James,FS,LAC,0,0%,72,100%,0,0%
20,Michael Davis,CB,LAC,0,0%,71,99%,0,0%
21,Jerry Tillery,DT,LAC,0,0%,67,93%,6,19%
22,Joey Bosa,LB,LAC,0,0%,64,89%,0,0%
23,Drue Tranquill,LB,LAC,0,0%,54,75%,9,28%
24,Kyzir White,LB,LAC,0,0%,53,74%,0,0%
25,Christian Covington,NT,LAC,0,0%,51,71%,6,19%
26,Linval Joseph,NT,LAC,0,0%,50,69%,5,16%
27,Tevaughn Campbell,CB,LAC,0,0%,42,58%,19,59%
28,Uchenna Nwosu,LB,LAC,0,0%,40,56%,0,0%
29,Chris Harris Jr.,CB,LAC,0,0%,34,47%,0,0%
30,Kyler Fackrell,LB,LAC,0,0%,33,46%,8,25%
31,Asante Samuel Jr.,CB,LAC,0,0%,29,40%,12,38%
32,Alohi Gilman,SS,LAC,0,0%,27,38%,27,84%
33,Forrest Merrill,DT,LAC,0,0%,15,21%,6,19%
34,Joe Gaziano,DE,LAC,0,0%,13,18%,6,19%
35,Chris Rumph,LB,LAC,0,0%,4,6%,27,84%
36,Amen Ogbongbemiga,LB,LAC,0,0%,1,1%,20,63%
37,Nick Niemann,LB,LAC,0,0%,0,0%,27,84%
38,Mark Webb,FS,LAC,0,0%,0,0%,20,63%
39,Kemon Hall,CB,LAC,0,0%,0,0%,20,63%
40,Larry Rountree,RB,LAC,0,0%,0,0%,18,56%
41,Tristan Vizcaino,K,LAC,0,0%,0,0%,13,41%
42,Ryan Smith,CB,LAC,0,0%,0,0%,11,34%
43,Matt Overton,LS,LAC,0,0%,0,0%,8,25%
44,Ty Long,P,LAC,0,0%,0,0%,8,25%
45,Trey Pipkins,T,LAC,0,0%,0,0%,5,16%
46,Scott Quessenberry,C,LAC,0,0%,0,0%,5,16%
0,Joel Bitonio,G,CLE,72,100%,0,0%,6,19%
1,Wyatt Teller,G,CLE,72,100%,0,0%,6,19%
2,Blake Hance,G,CLE,72,100%,0,0%,6,19%
3,Baker Mayfield,QB,CLE,72,100%,0,0%,0,0%
4,J.C. Tretter,C,CLE,72,100%,0,0%,0,0%
5,Odell Beckham Jr.,WR,CLE,58,81%,0,0%,0,0%
6,Austin Hooper,TE,CLE,52,72%,0,0%,0,0%
7,Jack Conklin,T,CLE,51,71%,0,0%,5,16%
8,Donovan Peoples-Jones,WR,CLE,49,68%,0,0%,5,16%
9,David Njoku,TE,CLE,46,64%,0,0%,0,0%
10,Nick Chubb,RB,CLE,40,56%,0,0%,0,0%
11,Rashard Higgins,WR,CLE,34,47%,0,0%,0,0%
12,Kareem Hunt,RB,CLE,32,44%,0,0%,0,0%
13,Harrison Bryant,TE,CLE,31,43%,0,0%,18,56%
14,James Hudson,T,CLE,21,29%,0,0%,6,19%
15,Anthony Schwartz,WR,CLE,9,13%,0,0%,10,31%
16,Andy Janovich,FB,CLE,6,8%,0,0%,11,34%
17,Demetric Felton,RB,CLE,3,4%,0,0%,21,66%
18,John Johnson,FS,CLE,0,0%,75,100%,9,28%
19,Ronnie Harrison,SS,CLE,0,0%,75,100%,0,0%
20,A.J. Green,CB,CLE,0,0%,69,92%,17,53%
21,Jeremiah Owusu-Koramoah,LB,CLE,0,0%,68,91%,5,16%
22,Greedy Williams,CB,CLE,0,0%,62,83%,3,9%
23,Myles Garrett,DE,CLE,0,0%,60,80%,2,6%
24,Anthony Walker,LB,CLE,0,0%,55,73%,8,25%
25,Troy Hill,CB,CLE,0,0%,55,73%,3,9%
26,Malik Jackson,DT,CLE,0,0%,54,72%,0,0%
27,Malik McDowell,DT,CLE,0,0%,50,67%,2,6%
28,Takkarist McKinley,DE,CLE,0,0%,43,57%,3,9%
29,Joe Jackson,DE,CLE,0,0%,34,45%,10,31%
30,Jordan Elliott,DT,CLE,0,0%,24,32%,6,19%
31,Grant Delpit,SS,CLE,0,0%,23,31%,18,56%
32,Andrew Billings,DT,CLE,0,0%,21,28%,3,9%
33,Sione Takitaki,LB,CLE,0,0%,17,23%,21,66%
34,Ifeadi Odenigbo,DE,CLE,0,0%,16,21%,5,16%
35,Denzel Ward,CB,CLE,0,0%,9,12%,0,0%
36,M.J. Stewart,SS,CLE,0,0%,7,9%,18,56%
37,Mack Wilson,LB,CLE,0,0%,5,7%,17,53%
38,Malcolm Smith,LB,CLE,0,0%,3,4%,0,0%
39,Elijah Lee,LB,CLE,0,0%,0,0%,26,81%
40,D'Ernest Johnson,RB,CLE,0,0%,0,0%,21,66%
41,Jovante Moffatt,SS,CLE,0,0%,0,0%,17,53%
42,Chase McLaughlin,K,CLE,0,0%,0,0%,13,41%
43,Charley Hughlett,LS,CLE,0,0%,0,0%,9,28%
44,Jamie Gillan,P,CLE,0,0%,0,0%,9,28%
45,Hjalte Froholdt,G,CLE,0,0%,0,0%,6,19%
46,Michael Dunn,G,CLE,0,0%,0,0%,6,19%
