,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Tyquan Lewis,IND,0,0,0,0,0,1.5,5,2,3,0,2,0,0,0,0
1,Al-Quadin Muhammad,IND,0,0,0,0,0,0.5,7,5,2,1,2,0,0,0,0
2,Darius Leonard,IND,0,0,0,0,0,0.0,13,6,7,0,0,1,21,0,0
3,Bobby Okereke,IND,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
4,Kenny Moore,IND,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
5,Julian Blackmon,IND,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,1
6,Isaiah Rodgers,IND,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
7,Xavier Rhodes,IND,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
8,DeForest Buckner,IND,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
9,Khari Willis,IND,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
10,Andrew Sendejo,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,E.J. Speed,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
12,Ben Banogu,IND,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
13,Anthony Chesley,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Taylor Stallworth,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Grover Stewart,IND,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
16,Ashton Dulin,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Zaire Franklin,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Thakarius Keyes,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Kemoko Turay,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Tavon Young,BAL,0,0,0,0,1,1.0,4,4,0,3,1,0,0,0,0
23,Odafe Oweh,BAL,0,0,0,0,0,1.0,3,3,0,0,2,0,0,0,1
24,Brandon Stephens,BAL,0,0,0,0,0,0.0,11,6,5,0,1,0,0,0,0
25,Anthony Averett,BAL,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
26,Tyus Bowser,BAL,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
27,Patrick Queen,BAL,0,0,0,0,0,0.0,6,4,2,1,1,0,0,0,0
28,Pernell McPhee,BAL,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
29,Calais Campbell,BAL,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
30,Chuck Clark,BAL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
31,Marlon Humphrey,BAL,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
32,Malik Harrison,BAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Justin Houston,BAL,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
34,Brandon Williams,BAL,0,0,0,0,0,0.0,3,1,2,0,0,1,0,0,0
35,Chris Board,BAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
36,Justin Ellis,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Anthony Levine,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Justin Madubuike,BAL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
39,Nick Moore,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Jordan Richards,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Jimmy Smith,BAL,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
42,Tylan Wallace,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Ar'Darius Washington,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Kristian Welch,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
