,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Mike Hilton,CIN,0,6,5,83.3%,34,6.8,5.7,0,90.3,6.3,20,14,3,0,0,0.0,0,3,0,0.0%
1,Akeem Davis-Gaither,CIN,0,7,4,57.1%,30,7.5,4.3,0,67.6,7.7,21,9,1,0,0,0.0,0,5,0,0.0%
2,Chidobe Awuzie,CIN,0,6,4,66.7%,22,5.5,3.7,0,72.9,9.2,12,10,0,0,0,0.0,0,5,1,16.7%
3,Logan Wilson,CIN,1,5,3,60.0%,12,4.0,2.4,0,25.0,7.0,7,5,1,0,0,0.0,0,6,0,0.0%
4,Joe Bachie,CIN,0,3,3,100.0%,18,6.0,6.0,0,91.7,5.3,16,2,1,0,0,0.0,0,5,0,0.0%
5,Jessie Bates III,CIN,0,2,2,100.0%,9,4.5,4.5,0,85.4,4.5,9,0,1,1,0,0.0,1,3,0,0.0%
6,Vonn Bell,CIN,0,3,2,66.7%,43,21.5,14.3,0,109.7,11.0,28,15,2,0,0,0.0,0,7,0,0.0%
7,Eli Apple,CIN,0,3,2,66.7%,17,8.5,5.7,0,81.2,1.7,3,14,1,0,0,0.0,0,1,0,0.0%
8,Trey Hendrickson,CIN,0,1,1,100.0%,0,0.0,0.0,0,79.2,-2.0,-2,2,0,2,1,1.0,4,2,1,33.3%
9,Markus Bailey,CIN,0,1,1,100.0%,3,3.0,3.0,0,79.2,-4.0,-4,7,0,0,0,0.0,0,1,0,0.0%
10,Ricardo Allen,CIN,0,2,1,50.0%,14,14.0,7.0,0,72.9,6.0,3,11,0,0,0,0.0,0,1,1,50.0%
11,Sam Hubbard,CIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%
12,Wyatt Ray,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
14,Jerry Jacobs,DET,0,7,5,71.4%,102,20.4,14.6,0,113.7,13.9,78,24,0,0,0,0.0,0,6,0,0.0%
15,Jalen Reeves-Maybin,DET,0,4,4,100.0%,48,12.0,12.0,1,156.2,6.3,25,23,0,0,0,0.0,0,7,2,22.2%
16,Trey Flowers,DET,0,3,3,100.0%,51,17.0,17.0,2,158.3,0.7,2,49,0,1,1,0.0,2,3,1,25.0%
17,AJ Parker,DET,0,4,2,50.0%,17,8.5,4.3,0,61.5,4.0,3,14,3,1,0,0.0,1,5,1,16.7%
18,Amani Oruwariye,DET,1,3,2,66.7%,37,18.5,12.3,0,69.4,11.7,24,13,0,0,0,0.0,0,2,2,50.0%
19,Julian Okwara,DET,0,1,1,100.0%,9,9.0,9.0,0,104.2,4.0,4,5,0,0,1,1.0,2,3,0,0.0%
20,Alex Anzalone,DET,0,2,1,50.0%,11,11.0,5.5,0,66.7,5.5,1,10,3,0,0,0.0,0,7,3,30.0%
21,Dean Marlowe,DET,0,1,1,100.0%,2,2.0,2.0,1,118.7,2.0,2,0,2,0,0,0.0,0,0,0,
22,C.J. Moore,DET,0,1,1,100.0%,1,1.0,1.0,0,79.2,-2.0,-2,3,0,0,0,0.0,0,1,0,0.0%
23,Derrick Barnes,DET,0,2,1,50.0%,,,0.0,,56.2,8.5,,,0,0,0,0.0,0,9,0,0.0%
24,Austin Bryant,DET,0,0,0,,,,,,,,,,1,0,0,1.0,1,2,0,0.0%
25,Alim McNeill,DET,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
26,Tracy Walker,DET,0,1,0,0.0%,,,0.0,,39.6,18.0,,,3,0,0,0.0,0,4,0,0.0%
