,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Robert Alford,ARI,1,23,0,23,3,0.0,1,1,0,0,0,0,0,0,0
1,Jordan Hicks,ARI,0,0,0,0,0,2.0,6,4,2,2,2,0,0,0,0
2,Markus Golden,ARI,0,0,0,0,0,2.0,5,4,1,1,2,0,0,0,1
3,J.J. Watt,ARI,0,0,0,0,1,1.0,5,1,4,0,2,0,0,0,1
4,Byron Murphy,ARI,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
5,Isaiah Simmons,ARI,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
6,Jalen Thompson,ARI,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
7,Marco Wilson,ARI,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
8,Devon Kennard,ARI,0,0,0,0,0,0.0,4,2,2,1,0,1,0,0,0
9,Zaven Collins,ARI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
10,Budda Baker,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Jordan Phillips,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Joe Walker,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Chris Banjo,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Victor Dimukeje,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Michael Dogbe,ARI,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
16,Kylie Fitts,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Dennis Gardeck,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Demetrius Harris,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,4,-18,0,0
23,Jadeveon Clowney,CLE,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
24,Myles Garrett,CLE,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
25,Anthony Walker,CLE,0,0,0,0,1,0.0,9,6,3,1,0,0,0,0,0
26,Jeremiah Owusu-Koramoah,CLE,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
27,Troy Hill,CLE,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
28,Sheldon Day,CLE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
29,John Johnson,CLE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
30,Greedy Williams,CLE,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
31,Ronnie Harrison,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
32,Denzel Ward,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
33,Grant Delpit,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Jordan Elliott,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Malik McDowell,CLE,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
36,Tony Fields,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Malik Jackson,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Joe Jackson,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Takkarist McKinley,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Herb Miller,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Greg Newsome II,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Sione Takitaki,CLE,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
