,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Johnathan Abram,LVR,1,6,0,6,1,0.0,9,7,2,0,0,0,0,0,0
1,Brandon Facyson,LVR,1,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
2,Trevon Moehrig,LVR,1,35,0,35,2,0.0,3,2,1,0,0,0,0,0,0
3,Maxx Crosby,LVR,0,0,0,0,1,3.0,6,2,4,1,5,0,0,0,0
4,Quinton Jefferson,LVR,0,0,0,0,0,1.0,4,1,3,0,2,0,0,0,0
5,Cory Littleton,LVR,0,0,0,0,1,0.5,11,7,4,0,1,0,0,0,0
6,Damion Square,LVR,0,0,0,0,0,0.5,2,0,2,0,3,0,0,0,0
7,Denzel Perryman,LVR,0,0,0,0,0,0.0,12,6,6,0,0,1,1,0,0
8,Nate Hobbs,LVR,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
9,Dallin Leavitt,LVR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
10,K.J. Wright,LVR,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
11,Casey Hayward,LVR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
12,Amik Robertson,LVR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,Roderic Teamer,LVR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Clelin Ferrell,LVR,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
15,Tyree Gillespie,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Alec Ingold,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Nick Kwiatkoski,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Carl Nassib,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Yannick Ngakoue,LVR,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
20,Keisean Nixon,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Solomon Thomas,LVR,0,0,0,0,0,0.0,1,1,0,0,3,0,0,0,1
22,Derek Carr,LVR,0,0,0,0,0,0.0,0,0,0,0,0,1,-2,0,0
25,Kareem Jackson,DEN,0,0,0,0,0,1.0,6,4,2,0,0,0,0,0,0
26,Bryce Callahan,DEN,0,0,0,0,0,1.0,3,3,0,1,0,0,0,0,0
27,Ronald Darby,DEN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
28,Alexander Johnson,DEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
29,Mike Purcell,DEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Patrick Surtain II,DEN,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
31,Micah Kiser,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
32,Justin Simmons,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Shamar Stephen,DEN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
34,Justin Strnad,DEN,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
35,Noah Fant,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
36,Shelby Harris,DEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
37,Von Miller,DEN,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
38,DeShawn Williams,DEN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
39,Tyrie Cleveland,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Graham Glasgow,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Dre'Mont Jones,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
42,Bobby Massie,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Malik Reed,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Caden Sterns,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Javonte Williams,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
