,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Logan Wilson,CIN,1,0,0,0,1,0.0,6,5,1,2,0,0,0,0,0
1,Trey Hendrickson,CIN,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
2,Vonn Bell,CIN,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
3,Chidobe Awuzie,CIN,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
4,Joe Bachie,CIN,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
5,Akeem Davis-Gaither,CIN,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
6,Jessie Bates III,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
7,Jalen Davis,CIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
8,Chris Evans,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
9,Mike Hilton,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
10,Larry Ogunjobi,CIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Wyatt Ray,CIN,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
12,D.J. Reader,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
13,Ricardo Allen,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Eli Apple,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Markus Bailey,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Ja'Marr Chase,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,B.J. Hill,CIN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
18,Sam Hubbard,CIN,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
19,Stanley Morgan Jr.,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Darius Phillips,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Josh Tupou,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Brandon Wilson,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Joe Mixon,CIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
26,Amani Oruwariye,DET,1,18,0,18,1,0.0,2,1,1,0,0,0,0,0,0
27,Julian Okwara,DET,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0
28,Austin Bryant,DET,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
29,Derrick Barnes,DET,0,0,0,0,1,0.0,9,6,3,0,0,0,0,0,0
30,Alex Anzalone,DET,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
31,Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
32,Jerry Jacobs,DET,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,1
33,Charles Harris,DET,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
34,AJ Parker,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
35,Michael Brockers,DET,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
36,Tracy Walker,DET,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
37,Trey Flowers,DET,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
38,Alim McNeill,DET,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
39,Nick Williams,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
40,Will Harris,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,T.J. Hockenson,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Godwin Igwebuike,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,C.J. Moore,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,John Penisini,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Anthony Pittman,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,Bobby Price,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
47,Josh Woods,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
48,Levi Onwuzurike,DET,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
