,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Dak Prescott,DAL,36,51,445,3,1,0,0,35,108.7,3,10,0,10,0,0,0,0,0,1,1
1,Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,17,69,0,21,9,7,50,0,18,0,0
2,Tony Pollard,DAL,0,0,0,0,0,0,0,0,,10,41,0,9,3,3,22,0,13,0,0
3,CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,2,0,2,11,9,149,2,35,0,0
4,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,79,0,23,0,0
5,Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,55,0,17,0,0
6,Noah Brown,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,47,0,27,0,0
7,Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,13,1,0
8,Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,1,1,0,0
9,Malik Turner,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
12,Mac Jones,NWE,15,21,229,2,1,2,14,75,118.9,2,-4,0,-2,0,0,0,0,0,1,1
13,Damien Harris,NWE,0,0,0,0,0,0,0,0,,18,101,1,21,1,1,7,0,7,0,0
14,Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,5,23,1,11,3,3,39,0,22,0,0
15,Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,4,1,27,0,27,0,0
16,Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,75,1,75,0,0
17,Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,0,14,0,0
18,Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,1,20,0,0
19,Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
20,Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,1,-1,0,-1,1,1,3,0,3,0,0
