,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Geno Smith,SEA,23,32,209,1,0,5,44,41,99.6,1,-1,0,-1,0,0,0,0,0,1,1
1,Alex Collins,SEA,0,0,0,0,0,0,0,0,,20,101,1,21,1,1,-3,0,-3,0,0
2,Travis Homer,SEA,0,0,0,0,0,0,0,0,,2,27,0,26,1,1,27,0,27,0,0
3,DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,4,17,0,10,5,5,33,0,10,1,0
4,D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,58,0,14,1,0
5,Gerald Everett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,40,0,41,0,0
6,Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,35,0,21,0,0
7,Penny Hart,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
8,Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,1,7,0,0
9,Phillip Dorsett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
10,Freddie Swain,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,-4,0,0,0,0
13,Ben Roethlisberger,PIT,29,40,229,1,0,1,3,23,94.7,2,-3,0,0,0,0,0,0,0,1,1
14,Najee Harris,PIT,0,0,0,0,0,0,0,0,,24,81,0,10,7,6,46,1,12,0,0
15,Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,1,25,0,25,13,9,71,0,23,0,0
16,Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0
17,Eric Ebron,PIT,0,0,0,0,0,0,0,0,,1,1,1,1,2,2,10,0,6,0,0
18,Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,58,0,12,0,0
19,Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,15,0,0
20,Chase Claypool,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,17,0,12,0,0
21,James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
