,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Dalvin Cook,MIN,29,140,8,69,2.4,71,2.4,2,14.5
1,Alexander Mattison,MIN,3,10,,3,1.0,7,2.3,1,3.0
2,Kirk Cousins,MIN,2,16,1,16,8.0,0,0.0,0,
3,C.J. Ham,MIN,1,30,1,22,22.0,8,8.0,0,
4,Adam Thielen,MIN,1,2,0,0,0.0,2,2.0,0,
6,Chuba Hubbard,CAR,16,61,5,23,1.4,38,2.4,0,
7,Sam Darnold,CAR,4,48,3,48,12.0,0,0.0,0,
8,Royce Freeman,CAR,1,3,,2,2.0,1,1.0,0,
9,D.J. Moore,CAR,1,6,0,4,4.0,2,2.0,0,
10,Tommy Tremble,CAR,1,0,,0,0.0,0,0.0,0,
