,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Taylor Moton,T,CAR,74,100%,0,0%,4,11%
1,Cameron Erving,T,CAR,74,100%,0,0%,4,11%
2,Matt Paradis,C,CAR,74,100%,0,0%,0,0%
3,John Miller,G,CAR,74,100%,0,0%,0,0%
4,Sam Darnold,QB,CAR,74,100%,0,0%,0,0%
5,D.J. Moore,WR,CAR,68,92%,0,0%,1,3%
6,Michael Jordan,G,CAR,66,89%,0,0%,0,0%
7,Robby Anderson,WR,CAR,64,86%,0,0%,0,0%
8,Chuba Hubbard,RB,CAR,48,65%,0,0%,0,0%
9,Ian Thomas,TE,CAR,40,54%,0,0%,0,0%
10,Tommy Tremble,TE,CAR,38,51%,0,0%,8,23%
11,Brandon Zylstra,WR,CAR,36,49%,0,0%,13,37%
12,Royce Freeman,RB,CAR,23,31%,0,0%,3,9%
13,Terrace Marshall Jr.,WR,CAR,23,31%,0,0%,0,0%
14,Alex Erickson,WR,CAR,12,16%,0,0%,10,29%
15,Shi Smith,WR,CAR,8,11%,0,0%,7,20%
16,Dennis Daley,G,CAR,8,11%,0,0%,4,11%
17,Colin Thompson,TE,CAR,7,9%,0,0%,11,31%
18,Giovanni Ricci,FB,CAR,3,4%,0,0%,28,80%
19,Sean Chandler,SS,CAR,0,0%,89,100%,13,37%
20,Jeremy Chinn,FS,CAR,0,0%,89,100%,7,20%
21,Donte Jackson,CB,CAR,0,0%,84,94%,7,20%
22,Haason Reddick,LB,CAR,0,0%,84,94%,6,17%
23,Jermaine Carter Jr.,LB,CAR,0,0%,83,93%,7,20%
24,A.J. Bouye,CB,CAR,0,0%,79,89%,0,0%
25,Brian Burns,DE,CAR,0,0%,69,77%,7,20%
26,Keith Taylor,CB,CAR,0,0%,65,73%,24,69%
27,DaQuan Jones,DT,CAR,0,0%,56,63%,7,20%
28,Morgan Fox,DE,CAR,0,0%,49,55%,7,20%
29,Derrick Brown,DT,CAR,0,0%,47,53%,7,20%
30,Frankie Luvu,LB,CAR,0,0%,37,42%,31,89%
31,Julian Stanford,LB,CAR,0,0%,35,39%,24,69%
32,Daviyon Nixon,DT,CAR,0,0%,22,25%,0,0%
33,Bravvion Roy,DT,CAR,0,0%,22,25%,0,0%
34,Marquis Haynes,DE,CAR,0,0%,21,24%,2,6%
35,Yetur Gross-Matos,DE,CAR,0,0%,21,24%,0,0%
36,Sam Franklin,SS,CAR,0,0%,18,20%,17,49%
37,Rashaan Melvin,CB,CAR,0,0%,9,10%,12,34%
38,Stantley Thomas-Oliver,CB,CAR,0,0%,1,1%,24,69%
39,Kenny Robinson Jr.,FS,CAR,0,0%,0,0%,24,69%
40,Clay Johnston,LB,CAR,0,0%,0,0%,23,66%
41,Zane Gonzalez,K,CAR,0,0%,0,0%,11,31%
42,J.J. Jansen,LS,CAR,0,0%,0,0%,10,29%
43,Ryan Winslow,P,CAR,0,0%,0,0%,10,29%
44,Trenton Scott,T,CAR,0,0%,0,0%,4,11%
45,Sam Tecklenburg,C,CAR,0,0%,0,0%,4,11%
46,Brady Christensen,T,CAR,0,0%,0,0%,4,11%
0,Brian O'Neill,T,MIN,89,100%,0,0%,6,17%
1,Christian Darrisaw,T,MIN,89,100%,0,0%,6,17%
2,Oli Udoh,T,MIN,89,100%,0,0%,6,17%
3,Ezra Cleveland,G,MIN,89,100%,0,0%,6,17%
4,Garrett Bradbury,C,MIN,89,100%,0,0%,0,0%
5,Kirk Cousins,QB,MIN,89,100%,0,0%,0,0%
6,Adam Thielen,WR,MIN,87,98%,0,0%,0,0%
7,Justin Jefferson,WR,MIN,84,94%,0,0%,0,0%
8,Tyler Conklin,TE,MIN,76,85%,0,0%,0,0%
9,Dalvin Cook,RB,MIN,66,74%,0,0%,0,0%
10,K.J. Osborn,WR,MIN,48,54%,0,0%,7,20%
11,Chris Herndon,TE,MIN,24,27%,0,0%,0,0%
12,C.J. Ham,FB,MIN,21,24%,0,0%,16,46%
13,Dede Westbrook,WR,MIN,12,13%,0,0%,6,17%
14,Alexander Mattison,RB,MIN,12,13%,0,0%,0,0%
15,Luke Stocker,TE,MIN,10,11%,0,0%,6,17%
16,Mason Cole,C,MIN,4,4%,0,0%,6,17%
17,Dan Chisena,WR,MIN,1,1%,0,0%,23,66%
18,Eric Kendricks,LB,MIN,0,0%,74,100%,6,17%
19,Xavier Woods,FS,MIN,0,0%,74,100%,6,17%
20,Anthony Barr,LB,MIN,0,0%,74,100%,5,14%
21,Harrison Smith,SS,MIN,0,0%,74,100%,4,11%
22,Danielle Hunter,DE,MIN,0,0%,67,91%,6,17%
23,Mackensie Alexander,CB,MIN,0,0%,65,88%,7,20%
24,Everson Griffen,DE,MIN,0,0%,63,85%,0,0%
25,Patrick Peterson,CB,MIN,0,0%,62,84%,6,17%
26,Bashaud Breeland,CB,MIN,0,0%,61,82%,3,9%
27,Dalvin Tomlinson,DT,MIN,0,0%,42,57%,6,17%
28,D.J. Wonnum,DE,MIN,0,0%,36,49%,6,17%
29,Armon Watts,NT,MIN,0,0%,36,49%,1,3%
30,Sheldon Richardson,DT,MIN,0,0%,31,42%,5,14%
31,Cameron Dantzler,CB,MIN,0,0%,25,34%,14,40%
32,James Lynch,NT,MIN,0,0%,13,18%,0,0%
33,Nick Vigil,LB,MIN,0,0%,9,12%,25,71%
34,Stephen Weatherly,DE,MIN,0,0%,8,11%,22,63%
35,Blake Lynch,LB,MIN,0,0%,0,0%,24,69%
36,Josh Metellus,SS,MIN,0,0%,0,0%,23,66%
37,Ryan Connelly,LB,MIN,0,0%,0,0%,23,66%
38,Troy Dye,LB,MIN,0,0%,0,0%,23,66%
39,Camryn Bynum,FS,MIN,0,0%,0,0%,18,51%
40,Kris Boyd,CB,MIN,0,0%,0,0%,16,46%
41,Greg Joseph,K,MIN,0,0%,0,0%,13,37%
42,Andrew DePaola,LS,MIN,0,0%,0,0%,11,31%
43,Jordan Berry,P,MIN,0,0%,0,0%,11,31%
44,Ameer Abdullah,RB,MIN,0,0%,0,0%,7,20%
45,Wyatt Davis,G,MIN,0,0%,0,0%,5,14%
46,Rashod Hill,T,MIN,0,0%,0,0%,1,3%
