,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Andrew Norwell,G,JAX,66,100%,0,0%,5,18%
1,Jawaan Taylor,T,JAX,66,100%,0,0%,5,18%
2,Tyler Shatley,G,JAX,66,100%,0,0%,3,11%
3,Cam Robinson,T,JAX,66,100%,0,0%,0,0%
4,Trevor Lawrence,QB,JAX,66,100%,0,0%,0,0%
5,Marvin Jones,WR,JAX,57,86%,0,0%,0,0%
6,James Robinson,RB,JAX,56,85%,0,0%,0,0%
7,Laviska Shenault Jr.,WR,JAX,52,79%,0,0%,0,0%
8,Will Richardson,T,JAX,42,64%,0,0%,5,18%
9,Dan Arnold,TE,JAX,41,62%,0,0%,0,0%
10,Jamal Agnew,WR,JAX,39,59%,0,0%,9,32%
11,Chris Manhertz,TE,JAX,30,45%,0,0%,5,18%
12,Ben Bartch,T,JAX,24,36%,0,0%,1,4%
13,Luke Farrell,TE,JAX,17,26%,0,0%,5,18%
14,Tavon Austin,WR,JAX,17,26%,0,0%,0,0%
15,Carlos Hyde,RB,JAX,9,14%,0,0%,0,0%
16,Laquon Treadwell,WR,JAX,7,11%,0,0%,0,0%
17,Jacob Hollister,TE,JAX,5,8%,0,0%,5,18%
18,Walker Little,T,JAX,1,2%,0,0%,4,14%
19,Rayshawn Jenkins,SS,JAX,0,0%,70,100%,10,36%
20,Andrew Wingard,FS,JAX,0,0%,70,100%,9,32%
21,Shaquill Griffin,CB,JAX,0,0%,70,100%,5,18%
22,Nevin Lawson,CB,JAX,0,0%,70,100%,3,11%
23,Josh Allen,LB,JAX,0,0%,62,89%,5,18%
24,Tre Herndon,CB,JAX,0,0%,58,83%,9,32%
25,Dawuane Smoot,DE,JAX,0,0%,54,77%,3,11%
26,Damien Wilson,LB,JAX,0,0%,51,73%,5,18%
27,Malcom Brown,DT,JAX,0,0%,40,57%,5,18%
28,Roy Robertson-Harris,DT,JAX,0,0%,38,54%,4,14%
29,Jihad Ward,LB,JAX,0,0%,33,47%,2,7%
30,Adam Gotsis,DE,JAX,0,0%,29,41%,10,36%
31,Dakota Allen,LB,JAX,0,0%,28,40%,14,50%
32,Rudy Ford,SS,JAX,0,0%,25,36%,18,64%
33,K'Lavon Chaisson,LB,JAX,0,0%,21,30%,4,14%
34,Shaquille Quarterman,LB,JAX,0,0%,17,24%,8,29%
35,Chapelle Russell,LB,JAX,0,0%,16,23%,18,64%
36,DaVon Hamilton,DT,JAX,0,0%,13,19%,6,21%
37,Lerentee McCray,DE,JAX,0,0%,3,4%,21,75%
38,Andre Cisco,SS,JAX,0,0%,2,3%,18,64%
39,Daniel Thomas,SS,JAX,0,0%,0,0%,18,64%
40,Dare Ogunbowale,RB,JAX,0,0%,0,0%,16,57%
41,Chris Claybrooks,CB,JAX,0,0%,0,0%,16,57%
42,Logan Cooke,P,JAX,0,0%,0,0%,14,50%
43,Ross Matiscik,LS,JAX,0,0%,0,0%,9,32%
44,KC McDermott,T,JAX,0,0%,0,0%,5,18%
45,Matthew Wright,K,JAX,0,0%,0,0%,5,18%
0,Austin Jackson,T,MIA,70,100%,0,0%,5,18%
1,Robert Hunt,G,MIA,70,100%,0,0%,5,18%
2,Greg Mancz,C,MIA,70,100%,0,0%,5,18%
