,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Ted Karras,C,NWE,54,100%,0,0%,3,11%
1,David Andrews,C,NWE,54,100%,0,0%,0,0%
2,James Ferentz,C,NWE,54,100%,0,0%,0,0%
3,Mac Jones,QB,NWE,54,100%,0,0%,0,0%
4,Justin Herron,T,NWE,45,83%,0,0%,3,11%
5,Michael Onwenu,G,NWE,43,80%,0,0%,3,11%
6,Jonnu Smith,TE,NWE,39,72%,0,0%,0,0%
7,Hunter Henry,TE,NWE,37,69%,0,0%,8,29%
8,Jakobi Meyers,WR,NWE,34,63%,0,0%,0,0%
9,Nelson Agholor,WR,NWE,32,59%,0,0%,0,0%
10,Damien Harris,RB,NWE,26,48%,0,0%,0,0%
11,Kendrick Bourne,WR,NWE,25,46%,0,0%,0,0%
12,Jakob Johnson,FB,NWE,22,41%,0,0%,16,57%
13,N'Keal Harry,WR,NWE,21,39%,0,0%,0,0%
14,Rhamondre Stevenson,RB,NWE,18,33%,0,0%,0,0%
15,Yodny Cajuste,T,NWE,15,28%,0,0%,0,0%
16,Brandon Bolden,RB,NWE,11,20%,0,0%,19,68%
17,Isaiah Wynn,T,NWE,9,17%,0,0%,3,11%
18,Gunner Olszewski,WR,NWE,1,2%,0,0%,14,50%
19,Devin McCourty,FS,NWE,0,0%,89,100%,6,21%
20,J.C. Jackson,CB,NWE,0,0%,84,94%,0,0%
21,Jalen Mills,CB,NWE,0,0%,84,94%,0,0%
22,Kyle Dugger,FS,NWE,0,0%,80,90%,5,18%
23,Matt Judon,LB,NWE,0,0%,77,87%,7,25%
24,Kyle Van Noy,LB,NWE,0,0%,71,80%,0,0%
25,Adrian Phillips,SS,NWE,0,0%,67,75%,9,32%
26,Dont'a Hightower,LB,NWE,0,0%,63,71%,6,21%
27,Deatrich Wise Jr.,DE,NWE,0,0%,57,64%,3,11%
28,Davon Godchaux,NT,NWE,0,0%,56,63%,6,21%
29,Christian Barmore,DT,NWE,0,0%,51,57%,1,4%
30,Jonathan Jones,CB,NWE,0,0%,44,49%,10,36%
31,Lawrence Guy,DT,NWE,0,0%,43,48%,9,32%
32,Ja'Whaun Bentley,LB,NWE,0,0%,40,45%,2,7%
33,Carl Davis,NT,NWE,0,0%,26,29%,0,0%
34,Josh Uche,LB,NWE,0,0%,26,29%,0,0%
35,Jamie Collins,LB,NWE,0,0%,17,19%,10,36%
36,Justin Bethel,FS,NWE,0,0%,4,4%,25,89%
