,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Wes Schweitzer,G,WAS,59,100%,0,0%,4,16%
1,Cornelius Lucas,T,WAS,59,100%,0,0%,4,16%
2,Charles Leno Jr.,T,WAS,59,100%,0,0%,4,16%
3,Ereck Flowers,G,WAS,59,100%,0,0%,4,16%
4,Ricky Seals-Jones,TE,WAS,59,100%,0,0%,0,0%
5,Chase Roullier,C,WAS,59,100%,0,0%,0,0%
6,Taylor Heinicke,QB,WAS,59,100%,0,0%,0,0%
7,Terry McLaurin,WR,WAS,56,95%,0,0%,0,0%
8,Dyami Brown,WR,WAS,47,80%,0,0%,0,0%
9,J.D. McKissic,RB,WAS,36,61%,0,0%,0,0%
10,Adam Humphries,WR,WAS,31,53%,0,0%,0,0%
11,Antonio Gibson,RB,WAS,23,39%,0,0%,0,0%
12,John Bates,TE,WAS,13,22%,0,0%,10,40%
13,DeAndre Carter,WR,WAS,12,20%,0,0%,8,32%
14,Dax Milne,WR,WAS,12,20%,0,0%,0,0%
15,Antonio Gandy-Golden,WR,WAS,3,5%,0,0%,6,24%
16,Jaret Patterson,RB,WAS,2,3%,0,0%,6,24%
17,Saahdiq Charles,T,WAS,1,2%,0,0%,4,16%
18,Kamren Curl,FS,WAS,0,0%,82,100%,6,24%
19,Kendall Fuller,CB,WAS,0,0%,82,100%,0,0%
20,Cole Holcomb,LB,WAS,0,0%,82,100%,0,0%
21,William Jackson III,CB,WAS,0,0%,82,100%,0,0%
22,Bobby McCain,CB,WAS,0,0%,82,100%,0,0%
23,Landon Collins,SS,WAS,0,0%,68,83%,0,0%
24,Chase Young,DE,WAS,0,0%,61,74%,0,0%
25,Montez Sweat,DE,WAS,0,0%,58,71%,0,0%
26,Jonathan Allen,DT,WAS,0,0%,55,67%,5,20%
27,Daron Payne,DT,WAS,0,0%,53,65%,5,20%
28,Jamin Davis,LB,WAS,0,0%,46,56%,0,0%
29,Benjamin St-Juste,CB,WAS,0,0%,40,49%,11,44%
30,Matthew Ioannidis,DT,WAS,0,0%,37,45%,0,0%
31,James Smith-Williams,DE,WAS,0,0%,23,28%,15,60%
32,Tim Settle,DT,WAS,0,0%,20,24%,5,20%
33,Casey Toohill,DE,WAS,0,0%,11,13%,21,84%
34,Shaka Toney,DE,WAS,0,0%,11,13%,4,16%
35,Khaleke Hudson,LB,WAS,0,0%,8,10%,21,84%
36,David Mayo,LB,WAS,0,0%,1,1%,21,84%
37,Troy Apke,FS,WAS,0,0%,0,0%,21,84%
38,Deshazor Everett,SS,WAS,0,0%,0,0%,21,84%
39,Jordan Kunaszyk,LB,WAS,0,0%,0,0%,16,64%
40,Danny Johnson,CB,WAS,0,0%,0,0%,15,60%
41,Sammis Reyes,TE,WAS,0,0%,0,0%,10,40%
42,Dustin Hopkins,K,WAS,0,0%,0,0%,8,32%
43,Tress Way,P,WAS,0,0%,0,0%,8,32%
44,Camaron Cheeseman,LS,WAS,0,0%,0,0%,8,32%
45,Tyler Larsen,C,WAS,0,0%,0,0%,4,16%
0,Creed Humphrey,C,KAN,82,100%,0,0%,5,20%
1,Orlando Brown Jr.,T,KAN,82,100%,0,0%,5,20%
2,Trey Smith,G,KAN,82,100%,0,0%,5,20%
3,Joe Thuney,G,KAN,82,100%,0,0%,0,0%
4,Patrick Mahomes,QB,KAN,82,100%,0,0%,0,0%
5,Mike Remmers,T,KAN,82,100%,0,0%,0,0%
6,Travis Kelce,TE,KAN,67,82%,0,0%,0,0%
7,Darrel Williams,RB,KAN,59,72%,0,0%,4,16%
8,Demarcus Robinson,WR,KAN,57,70%,0,0%,0,0%
9,Mecole Hardman,WR,KAN,49,60%,0,0%,4,16%
10,Tyreek Hill,WR,KAN,47,57%,0,0%,0,0%
11,Noah Gray,TE,KAN,38,46%,0,0%,17,68%
12,Byron Pringle,WR,KAN,32,39%,0,0%,8,32%
13,Jerick McKinnon,RB,KAN,23,28%,0,0%,4,16%
14,Josh Gordon,WR,KAN,11,13%,0,0%,0,0%
15,Joe Fortson,TE,KAN,10,12%,0,0%,13,52%
16,Marcus Kemp,WR,KAN,6,7%,0,0%,20,80%
17,Michael Burton,FB,KAN,6,7%,0,0%,13,52%
18,Andrew Wylie,G,KAN,4,5%,0,0%,5,20%
19,Lucas Niang,T,KAN,1,1%,0,0%,5,20%
20,L'Jarius Sneed,CB,KAN,0,0%,59,100%,4,16%
21,Rashad Fenton,CB,KAN,0,0%,59,100%,0,0%
22,Juan Thornhill,FS,KAN,0,0%,59,100%,0,0%
23,Tyrann Mathieu,SS,KAN,0,0%,59,100%,0,0%
24,Frank Clark,DE,KAN,0,0%,48,81%,0,0%
25,Mike Hughes,CB,KAN,0,0%,47,80%,14,56%
26,Ben Niemann,LB,KAN,0,0%,43,73%,13,52%
27,Jarran Reed,DT,KAN,0,0%,40,68%,0,0%
28,Nick Bolton,LB,KAN,0,0%,39,66%,5,20%
29,Michael Danna,DE,KAN,0,0%,35,59%,4,16%
30,Tershawn Wharton,DT,KAN,0,0%,32,54%,4,16%
31,Derrick Nnadi,DT,KAN,0,0%,31,53%,4,16%
32,Alex Okafor,DE,KAN,0,0%,29,49%,4,16%
33,Daniel Sorensen,FS,KAN,0,0%,19,32%,8,32%
34,Willie Gay Jr.,LB,KAN,0,0%,18,31%,4,16%
35,Khalen Saunders,DT,KAN,0,0%,14,24%,0,0%
36,Anthony Hitchens,LB,KAN,0,0%,11,19%,1,4%
37,Demone Harris,DE,KAN,0,0%,7,12%,0,0%
38,Dorian O'Daniel,LB,KAN,0,0%,0,0%,20,80%
39,Chris Lammons,CB,KAN,0,0%,0,0%,20,80%
40,Armani Watts,SS,KAN,0,0%,0,0%,16,64%
41,Harrison Butker,K,KAN,0,0%,0,0%,11,44%
42,Derrick Gore,RB,KAN,0,0%,0,0%,10,40%
43,Tommy Townsend,P,KAN,0,0%,0,0%,7,28%
44,James Winchester,LS,KAN,0,0%,0,0%,7,28%
45,Deandre Baker,CB,KAN,0,0%,0,0%,6,24%
46,Nick Allegretti,G,KAN,0,0%,0,0%,5,20%
