,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Stefon Diggs,BUF,11,9,89,1,8,74,8.2,15,1.7,8.5,1,9.0,0,0.0,0,130.7
1,Cole Beasley,BUF,9,7,88,1,4,55,7.9,33,4.7,6.7,0,,1,11.1,0,144.4
2,Devin Singletary,BUF,5,5,16,0,1,-4,-0.8,20,4.0,-0.8,1,5.0,0,0.0,0,80.0
3,Emmanuel Sanders,BUF,8,5,91,0,4,82,16.4,9,1.8,22.1,0,,0,0.0,0,101.6
4,Dawson Knox,BUF,3,3,25,0,2,4,1.3,21,7.0,1.3,1,3.0,0,0.0,0,101.4
5,Gabriel Davis,BUF,2,2,25,0,1,13,6.5,12,6.0,6.5,0,,0,0.0,0,118.7
6,Zack Moss,BUF,4,2,15,0,1,4,2.0,11,5.5,2.8,0,,1,25.0,1,19.8
7,Tommy Sweeney,BUF,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
8,Isaiah McKenzie,BUF,1,1,3,0,,0,0.0,3,3.0,0.0,0,,0,0.0,0,79.2
9,Jake Kumerow,BUF,1,0,0,0,,0,,0,,30.0,0,,0,0.0,0,39.6
11,A.J. Brown,TEN,9,7,91,0,4,66,9.4,25,3.6,9.6,0,,0,0.0,0,108.8
12,Julio Jones,TEN,5,3,59,0,1,56,18.7,3,1.0,16.8,0,,0,0.0,1,61.7
13,Nick Westbrook-Ikhine,TEN,3,3,27,0,2,16,5.3,11,3.7,5.3,0,,0,0.0,0,104.2
14,Derrick Henry,TEN,3,2,13,0,0,-11,-5.5,24,12.0,-4.0,0,,0,0.0,0,75.7
15,Chester Rogers,TEN,1,1,7,0,,-2,-2.0,9,9.0,-2.0,0,,0,0.0,0,95.8
16,Geoff Swaim,TEN,2,1,8,0,1,5,5.0,3,3.0,2.5,0,,0,0.0,0,60.4
17,Anthony Firkser,TEN,1,1,11,0,1,2,2.0,9,9.0,2.0,0,,0,0.0,0,112.5
18,Marcus Johnson,TEN,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
