,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rodger Saffold,G,TEN,53,100%,0,0%,6,21%
1,David Quessenberry,G,TEN,53,100%,0,0%,6,21%
2,Nate Davis,G,TEN,53,100%,0,0%,6,21%
3,Ryan Tannehill,QB,TEN,53,100%,0,0%,0,0%
4,Ben Jones,C,TEN,53,100%,0,0%,0,0%
5,Derrick Henry,RB,TEN,43,81%,0,0%,0,0%
6,A.J. Brown,WR,TEN,42,79%,0,0%,0,0%
7,Geoff Swaim,TE,TEN,38,72%,0,0%,15,52%
8,Julio Jones,WR,TEN,35,66%,0,0%,0,0%
9,Kendall Lamm,T,TEN,32,60%,0,0%,6,21%
10,Nick Westbrook-Ikhine,WR,TEN,29,55%,0,0%,18,62%
11,Taylor Lewan,T,TEN,21,40%,0,0%,2,7%
12,Marcus Johnson,WR,TEN,20,38%,0,0%,6,21%
13,MyCole Pruitt,TE,TEN,16,30%,0,0%,10,34%
14,Anthony Firkser,TE,TEN,15,28%,0,0%,9,31%
15,Chester Rogers,WR,TEN,15,28%,0,0%,3,10%
16,Khari Blasingame,FB,TEN,9,17%,0,0%,5,17%
17,Tory Carter,TE,TEN,2,4%,0,0%,14,48%
18,Jeremy McNichols,RB,TEN,1,2%,0,0%,0,0%
19,David Long,LB,TEN,0,0%,77,100%,0,0%
20,Kevin Byard,FS,TEN,0,0%,77,100%,0,0%
21,Harold Landry,LB,TEN,0,0%,76,99%,0,0%
22,Janoris Jenkins,CB,TEN,0,0%,76,99%,0,0%
23,Elijah Molden,CB,TEN,0,0%,72,94%,8,28%
24,Jeffery Simmons,DT,TEN,0,0%,69,90%,5,17%
25,Amani Hooker,FS,TEN,0,0%,66,86%,3,10%
26,Rashaan Evans,LB,TEN,0,0%,58,75%,0,0%
27,Bud Dupree,LB,TEN,0,0%,48,62%,0,0%
28,Denico Autry,DE,TEN,0,0%,46,60%,5,17%
29,Teair Tart,DT,TEN,0,0%,38,49%,6,21%
30,Chris Jackson,CB,TEN,0,0%,36,47%,12,41%
31,Caleb Farley,CB,TEN,0,0%,28,36%,0,0%
32,Dane Cruikshank,SS,TEN,0,0%,23,30%,16,55%
33,Naquan Jones,DT,TEN,0,0%,23,30%,5,17%
34,Breon Borders,CB,TEN,0,0%,15,19%,14,48%
35,Amani Bledsoe,DE,TEN,0,0%,14,18%,7,24%
36,Olasunkanmi Adeniyi,LB,TEN,0,0%,4,5%,23,79%
37,Nick Dzubnar,LB,TEN,0,0%,1,1%,23,79%
38,Matthias Farley,FS,TEN,0,0%,0,0%,23,79%
39,Joseph Jones,LB,TEN,0,0%,0,0%,23,79%
40,Randy Bullock,K,TEN,0,0%,0,0%,13,45%
41,Morgan Cox,LS,TEN,0,0%,0,0%,8,28%
42,Johnny Townsend,P,TEN,0,0%,0,0%,8,28%
43,Dillon Radunz,T,TEN,0,0%,0,0%,6,21%
44,Cameron Batson,WR,TEN,0,0%,0,0%,5,17%
0,Dion Dawkins,T,BUF,77,100%,0,0%,5,17%
1,Spencer Brown,T,BUF,77,100%,0,0%,5,17%
2,Daryl Williams,T,BUF,77,100%,0,0%,5,17%
3,Josh Allen,QB,BUF,77,100%,0,0%,0,0%
4,Mitch Morse,C,BUF,77,100%,0,0%,0,0%
5,Jon Feliciano,G,BUF,77,100%,0,0%,0,0%
6,Emmanuel Sanders,WR,BUF,71,92%,0,0%,0,0%
7,Cole Beasley,WR,BUF,67,87%,0,0%,0,0%
8,Stefon Diggs,WR,BUF,62,81%,0,0%,0,0%
9,Dawson Knox,TE,BUF,61,79%,0,0%,0,0%
10,Zack Moss,RB,BUF,42,55%,0,0%,0,0%
11,Devin Singletary,RB,BUF,35,45%,0,0%,0,0%
12,Gabriel Davis,WR,BUF,26,34%,0,0%,1,3%
13,Tommy Sweeney,TE,BUF,11,14%,0,0%,0,0%
14,Reggie Gilliam,FB,BUF,4,5%,0,0%,18,62%
15,Isaiah McKenzie,WR,BUF,4,5%,0,0%,9,31%
16,Jake Kumerow,WR,BUF,1,1%,0,0%,18,62%
17,Ryan Bates,C,BUF,1,1%,0,0%,5,17%
18,Jordan Poyer,SS,BUF,0,0%,53,100%,13,45%
19,Micah Hyde,FS,BUF,0,0%,53,100%,6,21%
20,Tremaine Edmunds,LB,BUF,0,0%,53,100%,6,21%
21,Tre'Davious White,CB,BUF,0,0%,53,100%,6,21%
22,Levi Wallace,CB,BUF,0,0%,53,100%,0,0%
23,Matt Milano,LB,BUF,0,0%,53,100%,0,0%
24,Taron Johnson,CB,BUF,0,0%,50,94%,0,0%
25,Jerry Hughes,DE,BUF,0,0%,34,64%,0,0%
26,Ed Oliver,DT,BUF,0,0%,31,58%,0,0%
27,Star Lotulelei,DT,BUF,0,0%,30,57%,6,21%
28,Mario Addison,DE,BUF,0,0%,28,53%,0,0%
29,Gregory Rousseau,DE,BUF,0,0%,25,47%,6,21%
30,Harrison Phillips,DT,BUF,0,0%,23,43%,6,21%
31,Justin Zimmer,DT,BUF,0,0%,21,40%,5,17%
32,Efe Obada,DE,BUF,0,0%,20,38%,11,38%
33,A.J. Klein,LB,BUF,0,0%,3,6%,17,59%
34,Tyler Matakevich,LB,BUF,0,0%,0,0%,24,83%
35,Siran Neal,CB,BUF,0,0%,0,0%,18,62%
36,Taiwan Jones,RB,BUF,0,0%,0,0%,18,62%
37,Jaquan Johnson,FS,BUF,0,0%,0,0%,18,62%
38,Andre Smith,LB,BUF,0,0%,0,0%,18,62%
39,Tyrel Dodson,LB,BUF,0,0%,0,0%,18,62%
40,Dane Jackson,CB,BUF,0,0%,0,0%,13,45%
41,Tyler Bass,K,BUF,0,0%,0,0%,12,42%
42,Damar Hamlin,SS,BUF,0,0%,0,0%,7,24%
43,Matt Haack,P,BUF,0,0%,0,0%,7,24%
44,Reid Ferguson,LS,BUF,0,0%,0,0%,7,24%
45,Cody Ford,G,BUF,0,0%,0,0%,5,17%
46,Ike Boettger,G,BUF,0,0%,0,0%,5,17%
