,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Shelby Harris,DEN,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
1,Kareem Jackson,DEN,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
2,Ronald Darby,DEN,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
3,Mike Purcell,DEN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
4,Justin Strnad,DEN,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
5,Bryce Callahan,DEN,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
6,Jonathon Cooper,DEN,0,0,0,0,0,0.0,5,2,3,0,3,0,0,0,0
7,Justin Simmons,DEN,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
8,Malik Reed,DEN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
9,DeShawn Williams,DEN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
10,Curtis Robinson,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Dre'Mont Jones,DEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Micah Kiser,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Von Miller,DEN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
14,Patrick Surtain II,DEN,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0
15,Tyrie Cleveland,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,P.J. Locke,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Shamar Stephen,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Caden Sterns,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,John Johnson,CLE,1,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
22,Myles Garrett,CLE,0,0,0,0,0,1.5,3,1,2,0,1,0,0,0,0
23,Jadeveon Clowney,CLE,0,0,0,0,0,0.5,2,1,1,0,2,0,0,0,0
24,Anthony Walker,CLE,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0
25,Mack Wilson,CLE,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
26,Ronnie Harrison,CLE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
27,Malik McDowell,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
28,Greg Newsome II,CLE,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
29,Sione Takitaki,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
30,Jordan Elliott,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
31,Troy Hill,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
32,Malik Jackson,CLE,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
33,Takkarist McKinley,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Denzel Ward,CLE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
35,Harrison Bryant,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
36,Grant Delpit,CLE,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
37,Joe Jackson,CLE,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
38,Malcolm Smith,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Greedy Williams,CLE,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
