,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Desmond King,HOU,0,7,7,100.0%,47,6.7,6.7,1,134.2,3.3,23,24,0,0,0,0.0,0,6,1,14.3%
1,Lonnie Johnson Jr.,HOU,1,7,6,85.7%,114,19.0,16.3,0,79.2,17.0,108,6,0,0,0,0.0,0,9,0,0.0%
2,Kamu Grugier-Hill,HOU,0,4,4,100.0%,25,6.3,6.3,1,132.3,4.5,18,7,1,0,0,0.0,0,6,1,14.3%
3,Terrance Mitchell,HOU,0,3,2,66.7%,53,26.5,17.7,0,109.7,21.0,52,1,0,0,0,0.0,0,2,0,0.0%
4,Tavierre Thomas,HOU,0,3,2,66.7%,24,12.0,8.0,0,91.0,0.0,4,20,0,0,0,0.0,0,4,1,20.0%
5,Zach Cunningham,HOU,0,1,1,100.0%,47,47.0,47.0,1,158.3,19.0,19,28,0,0,0,0.0,0,1,1,50.0%
6,Justin Reid,HOU,0,1,1,100.0%,11,11.0,11.0,0,112.5,7.0,7,4,0,0,0,0.0,0,8,0,0.0%
7,Jonathan Greenard,HOU,0,0,0,,,,,,,,,,0,1,0,2.0,3,4,0,0.0%
8,Maliek Collins,HOU,0,0,0,,,,,,,,,,0,1,0,1.0,2,1,0,0.0%
9,DeMarcus Walker,HOU,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
10,Charles Omenihu,HOU,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
11,Jordan Jenkins,HOU,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
12,Christian Kirksey,HOU,0,4,0,0.0%,,,0.0,,39.6,15.8,,,0,0,0,0.0,0,8,2,20.0%
14,Byron Murphy,ARI,0,7,5,71.4%,48,9.6,6.9,0,90.2,5.1,26,22,0,0,0,0.0,0,4,0,0.0%
15,Marco Wilson,ARI,0,8,5,62.5%,32,6.4,4.0,0,70.8,7.8,25,7,0,0,0,0.0,0,5,0,0.0%
16,Isaiah Simmons,ARI,0,4,4,100.0%,20,5.0,5.0,0,87.5,2.8,11,9,3,0,0,0.0,0,8,0,0.0%
17,Jalen Thompson,ARI,0,3,3,100.0%,12,4.0,4.0,0,83.3,0.3,1,11,1,0,0,0.0,0,5,0,0.0%
18,Jordan Hicks,ARI,0,2,2,100.0%,8,4.0,4.0,0,83.3,4.0,8,0,1,0,0,0.0,0,2,0,0.0%
19,Deionte Thompson,ARI,0,1,1,100.0%,5,5.0,5.0,0,87.5,1.0,1,4,0,0,0,0.0,0,3,0,0.0%
20,Devon Kennard,ARI,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,2,0,0,0.0,0,2,0,0.0%
21,Robert Alford,ARI,0,3,1,33.3%,-3,-3.0,-1.0,0,42.4,4.7,-4,1,0,0,0,0.0,0,1,0,0.0%
22,Antonio Hamilton,ARI,0,1,1,100.0%,8,8.0,8.0,0,100.0,8.0,8,0,1,0,0,0.0,0,2,0,0.0%
23,Dennis Gardeck,ARI,0,1,1,100.0%,5,5.0,5.0,0,87.5,1.0,1,4,1,0,0,0.0,0,2,0,0.0%
24,Markus Golden,ARI,0,0,0,,,,,,,,,,1,0,1,2.0,3,3,1,25.0%
25,Michael Dogbe,ARI,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
26,Zaven Collins,ARI,0,0,0,,,,,,,,,,2,1,0,0.0,1,4,0,0.0%
27,J.J. Watt,ARI,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
28,Tanner Vallejo,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
29,Chris Banjo,ARI,0,1,0,0.0%,,,0.0,,39.6,21.0,,,1,0,0,0.0,0,2,0,0.0%
30,Joe Walker,ARI,0,1,0,0.0%,,,0.0,,39.6,22.0,,,0,0,0,0.0,0,1,0,0.0%
31,Budda Baker,ARI,0,0,0,,,,,,,,,,3,0,0,0.0,0,2,0,0.0%
