,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Del'Shawn Phillips,NYJ,0,0,0,0,0,1.0,8,4,4,2,1,0,0,0,0
1,Marcus Maye,NYJ,0,0,0,0,1,0.0,12,7,5,1,0,0,0,0,0
2,Ashtyn Davis,NYJ,0,0,0,0,0,0.0,11,10,1,0,0,0,0,0,0
3,Brandin Echols,NYJ,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
4,Michael Carter,NYJ,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0
5,Quinnen Williams,NYJ,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
6,Blake Cashman,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
7,Bryce Hall,NYJ,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
8,Jamien Sherwood,NYJ,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
9,Noah Dawkins,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,Folorunso Fatukasi,NYJ,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
11,John Franklin-Myers,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
12,Javelin Guidry,NYJ,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
13,Ty Johnson,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Shaq Lawson,NYJ,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
15,Connor McGovern,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Elijah Moore,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Sheldon Rankins,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Nathan Shepherd,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Tim Ward,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Quincy Williams,NYJ,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
23,Kyle Dugger,NWE,1,14,0,14,1,0.0,9,7,2,0,0,0,0,0,0
24,J.C. Jackson,NWE,1,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
25,Myles Bryant,NWE,0,0,0,0,0,1.0,6,2,4,1,1,0,0,0,1
26,Daniel Ekuale,NWE,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
27,Adrian Phillips,NWE,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
28,Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
29,Cody Davis,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Christian Barmore,NWE,0,0,0,0,0,0.0,3,2,1,0,2,0,0,0,0
31,Lawrence Guy,NWE,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
32,Jalen Mills,NWE,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
33,Kyle Van Noy,NWE,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
34,Jamie Collins,NWE,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
35,Brandon King,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Devin McCourty,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
37,Justin Bethel,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Carl Davis,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Davon Godchaux,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Matt Judon,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Harvey Langi,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
42,Jahlani Tavai,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Joejuan Williams,NWE,0,0,0,0,3,0.0,1,1,0,0,0,0,0,0,0
44,Deatrich Wise Jr.,NWE,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
45,Josh Uche,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
