,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Khari Willis,IND,1,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
1,Xavier Rhodes,IND,1,4,0,4,2,0.0,4,3,1,0,0,0,0,0,0
2,DeForest Buckner,IND,0,0,0,0,0,1.0,6,5,1,1,1,0,0,0,0
3,Al-Quadin Muhammad,IND,0,0,0,0,0,1.0,1,1,0,0,2,0,0,0,1
4,Darius Leonard,IND,0,0,0,0,0,0.0,7,2,5,0,1,0,0,0,1
5,Kenny Moore,IND,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
6,Zaire Franklin,IND,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
7,Bobby Okereke,IND,0,0,0,0,1,0.0,4,2,2,1,0,0,0,0,0
8,Kwity Paye,IND,0,0,0,0,0,0.0,4,1,3,0,0,1,0,0,0
9,E.J. Speed,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Matthew Adams,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Ashton Dulin,IND,0,0,0,0,0,0.0,2,1,1,0,0,1,0,0,0
12,George Odum,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Isaiah Rodgers,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Andrew Sendejo,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Grover Stewart,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
16,Tyquan Lewis,IND,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
17,Zach Pascal,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Isaac Rochell,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Rigoberto Sanchez,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Anthony Chesley,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
21,Carson Wentz,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,Kentavius Street,SFO,0,0,0,0,0,1.0,4,3,1,0,0,0,0,0,1
25,Josh Norman,SFO,0,0,0,0,1,0.0,10,7,3,3,0,0,0,0,2
26,Azeez Al-Shaair,SFO,0,0,0,0,0,0.0,8,4,4,1,0,1,12,0,0
27,Jimmie Ward,SFO,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
28,Fred Warner,SFO,0,0,0,0,0,0.0,8,6,2,2,0,1,0,0,0
29,Arik Armstead,SFO,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
30,Nick Bosa,SFO,0,0,0,0,0,0.0,4,3,1,0,3,0,0,0,0
31,Emmanuel Moseley,SFO,0,0,0,0,4,0.0,3,2,1,0,0,0,0,0,0
32,Jaquiski Tartt,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
33,K'Waun Williams,SFO,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
34,Talanoa Hufanga,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
35,D.J. Jones,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
36,Arden Key,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
37,Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Dee Ford,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Marcell Harris,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Jamycal Hasty,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Jauan Jennings,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Dontae Johnson,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Zach Kerr,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Tavon Wilson,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Charlie Woerner,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,Jimmy Garoppolo,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0
