,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Mike White,NYJ,20,32,202,1,2,1,8,22,64.8,0,0,0,0,0,0,0,0,0,0,0
1,Zach Wilson,NYJ,6,10,51,0,0,1,8,15,73.3,0,0,0,0,0,0,0,0,0,0,0
2,Michael Carter,NYJ,0,0,0,0,0,0,0,0,,11,37,0,6,9,8,67,0,16,1,1
3,Elijah Moore,NYJ,0,0,0,0,0,0,0,0,,1,19,1,19,6,1,13,0,13,0,0
4,Ty Johnson,NYJ,0,0,0,0,0,0,0,0,,5,6,0,5,7,6,65,0,21,0,0
5,Corey Davis,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,47,1,22,0,0
6,Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,34,0,21,0,0
7,Ryan Griffin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
8,Keelan Cole,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
9,Denzel Mims,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
10,Trevon Wesco,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
13,Mac Jones,NWE,24,36,307,2,0,1,8,46,111.7,3,19,0,13,0,0,0,0,0,0,0
14,Brian Hoyer,NWE,3,4,79,0,0,0,0,29,116.7,3,-3,0,-1,0,0,0,0,0,0,0
15,Kendrick Bourne,NWE,1,1,25,1,0,0,0,25,158.3,0,0,0,0,4,4,68,0,46,0,0
16,Damien Harris,NWE,0,0,0,0,0,0,0,0,,14,106,2,32,2,2,7,0,4,0,0
17,J.J. Taylor,NWE,0,0,0,0,0,0,0,0,,9,21,2,15,1,1,5,0,5,0,0
18,Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,1,5,0,5,5,2,52,0,28,0,0
19,Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,2,0,0,0,7,6,79,1,28,0,0
20,Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,51,1,26,0,0
21,Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,44,0,19,0,0
22,Jakob Johnson,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,29,0,0
23,N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,28,0,28,0,0
24,Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,1,22,0,0
25,Gunner Olszewski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0
