,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Joe Burrow,CIN,23,38,416,3,1,1,7,82,113.5,1,0,0,0,0,0,0,0,0,0,0
1,Joe Mixon,CIN,0,0,0,0,0,0,0,0,,12,59,1,21,0,0,0,0,0,0,0
2,Samaje Perine,CIN,0,0,0,0,0,0,0,0,,11,52,1,46,1,1,23,0,23,0,0
3,Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,201,1,82,1,0
4,C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,91,2,55,0,0
5,Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,15,7,62,0,11,0,0
6,Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,39,0,25,0,0
9,Lamar Jackson,BAL,15,31,257,1,0,5,18,39,87.7,12,88,0,16,0,0,0,0,0,0,0
10,Tyler Huntley,BAL,5,11,39,0,0,0,0,12,54.7,0,0,0,0,0,0,0,0,0,0,0
11,Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,4,14,1,10,3,3,25,0,12,0,0
12,Ty'Son Williams,BAL,0,0,0,0,0,0,0,0,,2,10,0,6,2,2,24,0,13,0,0
13,Le'Veon Bell,BAL,0,0,0,0,0,0,0,0,,5,5,0,7,2,1,-1,0,-1,0,0
14,Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,14,5,80,1,39,0,0
15,Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,80,0,35,0,0
16,Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,48,0,24,1,0
17,Josh Oliver,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,29,0,19,0,0
18,James Proche,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
19,Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,1,-2,0,-2,1,1,11,0,11,0,0
