,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Michael Pittman Jr.,IND,4,4,105,1,4,91,22.8,14,3.5,22.8,0,,0,0.0,0,158.3
1,Mo Alie-Cox,IND,3,3,25,1,1,9,3.0,16,5.3,3.0,0,,0,0.0,0,141.0
2,Jonathan Taylor,IND,3,3,3,0,0,-14,-4.7,17,5.7,-4.7,0,,0,0.0,0,79.2
3,Zach Pascal,IND,6,3,14,0,1,3,1.0,11,3.7,6.2,0,,0,0.0,0,56.2
4,Ashton Dulin,IND,4,2,0,0,,-6,-3.0,6,3.0,11.3,0,,0,0.0,0,56.2
5,Nyheim Hines,IND,3,1,-2,0,,-8,-8.0,6,6.0,0.0,0,,1,33.3,0,42.4
6,Keke Coutee,IND,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5
7,Kylen Granson,IND,1,0,0,0,,0,,0,,17.0,0,,0,0.0,0,39.6
8,Jack Doyle,IND,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
10,Deebo Samuel,SFO,11,7,100,1,4,71,10.1,29,4.1,7.8,2,3.5,1,9.1,1,85.4
11,Jamycal Hasty,SFO,6,3,15,0,,1,0.3,14,4.7,5.7,0,,0,0.0,0,56.2
12,Charlie Woerner,SFO,2,2,30,0,1,28,14.0,2,1.0,14.0,0,,0,0.0,0,118.7
13,Brandon Aiyuk,SFO,1,1,6,0,,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
14,Ross Dwelley,SFO,2,1,5,0,1,4,4.0,1,1.0,8.5,0,,0,0.0,0,56.2
15,Mohamed Sanu,SFO,1,1,16,0,1,13,13.0,3,3.0,13.0,0,,0,0.0,0,118.7
16,Trent Sherfield,SFO,2,1,9,0,1,9,9.0,0,0.0,14.0,0,,0,0.0,0,62.5
17,Jauan Jennings,SFO,2,0,0,0,,0,,0,,12.5,0,,1,50.0,1,0.0
