,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,David Johnson,HOU,7,25,0,21,3.0,4,0.6,1,7.0
1,Mark Ingram,HOU,6,9,0,8,1.3,1,0.2,0,
2,Phillip Lindsay,HOU,2,8,,8,4.0,0,0.0,0,
4,Chase Edmonds,ARI,15,81,4,51,3.4,30,2.0,2,7.5
5,James Conner,ARI,10,64,2,40,4.0,24,2.4,2,5.0
6,Kyler Murray,ARI,6,10,0,10,1.7,0,0.0,0,
7,Eno Benjamin,ARI,2,7,,6,3.0,1,0.5,0,
8,Colt McCoy,ARI,2,-1,,-1,-0.5,0,0.0,0,
9,Zach Ertz,ARI,1,4,0,4,4.0,0,0.0,0,
10,Jonathan Ward,ARI,1,7,1,7,7.0,0,0.0,0,
