,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Royce Newman,T,GNB,56,100%,0,0%,5,26%
1,Jon Runyan,G,GNB,56,100%,0,0%,5,26%
2,Billy Turner,T,GNB,56,100%,0,0%,0,0%
3,Lucas Patrick,G,GNB,56,100%,0,0%,0,0%
4,Elgton Jenkins,G,GNB,56,100%,0,0%,0,0%
5,Aaron Rodgers,QB,GNB,56,100%,0,0%,0,0%
6,Allen Lazard,WR,GNB,51,91%,0,0%,1,5%
7,Davante Adams,WR,GNB,48,86%,0,0%,1,5%
8,Aaron Jones,RB,GNB,41,73%,0,0%,1,5%
9,Robert Tonyan,TE,GNB,38,68%,0,0%,1,5%
10,Randall Cobb,WR,GNB,35,63%,0,0%,0,0%
11,Marcedes Lewis,TE,GNB,21,38%,0,0%,0,0%
12,AJ Dillon,RB,GNB,13,23%,0,0%,5,26%
13,Equanimeous St. Brown,WR,GNB,12,21%,0,0%,8,42%
14,Josiah Deguara,TE,GNB,11,20%,0,0%,14,74%
15,Kylin Hill,RB,GNB,5,9%,0,0%,2,11%
16,Amari Rodgers,WR,GNB,4,7%,0,0%,6,32%
17,Tyler Davis,TE,GNB,1,2%,0,0%,9,48%
18,Adrian Amos,FS,GNB,0,0%,72,100%,2,11%
19,Darnell Savage Jr.,SS,GNB,0,0%,72,100%,1,5%
20,De'Vondre Campbell,LB,GNB,0,0%,72,100%,0,0%
21,Eric Stokes,CB,GNB,0,0%,72,100%,0,0%
22,Chandon Sullivan,CB,GNB,0,0%,61,85%,1,5%
23,Kenny Clark,NT,GNB,0,0%,60,83%,0,0%
24,Rasul Douglas,CB,GNB,0,0%,58,81%,0,0%
25,Rashan Gary,LB,GNB,0,0%,51,71%,0,0%
26,Jonathan Garvin,LB,GNB,0,0%,43,60%,3,16%
27,Dean Lowry,DE,GNB,0,0%,42,58%,6,32%
28,Kingsley Keke,DE,GNB,0,0%,42,58%,2,11%
29,Whitney Mercilus,DE,GNB,0,0%,31,43%,0,0%
30,Tyler Lancaster,NT,GNB,0,0%,18,25%,8,42%
31,Krys Barnes,LB,GNB,0,0%,17,24%,13,69%
32,Henry Black,SS,GNB,0,0%,17,24%,12,63%
33,Isaac Yiadom,CB,GNB,0,0%,14,19%,13,69%
34,Shemar Jean-Charles,CB,GNB,0,0%,12,17%,10,53%
35,Ladarius Hamilton,LB,GNB,0,0%,12,17%,0,0%
36,Jaylon Smith,LB,GNB,0,0%,10,14%,0,0%
37,Oren Burks,LB,GNB,0,0%,9,13%,14,74%
38,Tedarrell Slaton,DT,GNB,0,0%,7,10%,8,42%
39,Ty Summers,LB,GNB,0,0%,0,0%,14,74%
40,Mason Crosby,K,GNB,0,0%,0,0%,10,53%
41,Hunter Bradley,LS,GNB,0,0%,0,0%,8,42%
42,Corey Bojorquez,P,GNB,0,0%,0,0%,8,42%
43,Ben Braden,G,GNB,0,0%,0,0%,7,37%
44,Yosuah Nijman,T,GNB,0,0%,0,0%,5,26%
45,Isaiah McDuffie,LB,GNB,0,0%,0,0%,5,26%
0,Cornelius Lucas,T,WAS,72,100%,0,0%,3,16%
1,Charles Leno Jr.,T,WAS,72,100%,0,0%,3,16%
2,Ereck Flowers,G,WAS,72,100%,0,0%,3,16%
3,Ricky Seals-Jones,TE,WAS,72,100%,0,0%,1,5%
4,Chase Roullier,C,WAS,72,100%,0,0%,0,0%
5,Taylor Heinicke,QB,WAS,72,100%,0,0%,0,0%
6,Wes Schweitzer,G,WAS,71,99%,0,0%,3,16%
7,Terry McLaurin,WR,WAS,66,92%,0,0%,0,0%
8,Adam Humphries,WR,WAS,50,69%,0,0%,0,0%
9,J.D. McKissic,RB,WAS,46,64%,0,0%,0,0%
10,DeAndre Carter,WR,WAS,39,54%,0,0%,8,42%
11,Antonio Gibson,RB,WAS,30,42%,0,0%,0,0%
