,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Robert Hunt,G,MIA,73,100%,0,0%,5,18%
1,Austin Jackson,T,MIA,73,100%,0,0%,5,18%
2,Liam Eichenberg,T,MIA,73,100%,0,0%,5,18%
3,Jesse Davis,T,MIA,73,100%,0,0%,5,18%
4,Austin Reiter,C,MIA,73,100%,0,0%,0,0%
5,Tua Tagovailoa,QB,MIA,73,100%,0,0%,0,0%
6,Jaylen Waddle,WR,MIA,61,84%,0,0%,2,7%
7,Mike Gesicki,TE,MIA,60,82%,0,0%,0,0%
8,Adam Shaheen,TE,MIA,51,70%,0,0%,6,21%
9,Myles Gaskin,RB,MIA,46,63%,0,0%,4,14%
10,Mack Hollins,WR,MIA,39,53%,0,0%,16,57%
11,Preston Williams,WR,MIA,30,41%,0,0%,0,0%
12,Durham Smythe,TE,MIA,29,40%,0,0%,14,50%
13,Salvon Ahmed,RB,MIA,22,30%,0,0%,0,0%
14,Isaiah Ford,WR,MIA,19,26%,0,0%,0,0%
15,Malcolm Brown,RB,MIA,5,7%,0,0%,0,0%
16,Albert Wilson,WR,MIA,3,4%,0,0%,0,0%
17,Jevon Holland,FS,MIA,0,0%,63,100%,14,50%
18,Byron Jones,CB,MIA,0,0%,63,100%,0,0%
19,Xavien Howard,CB,MIA,0,0%,63,100%,0,0%
20,Samuel Eguavoen,LB,MIA,0,0%,53,84%,16,57%
21,Andrew Van Ginkel,LB,MIA,0,0%,48,76%,15,54%
22,Elandon Roberts,LB,MIA,0,0%,44,70%,5,18%
23,Eric Rowe,SS,MIA,0,0%,44,70%,0,0%
24,Christian Wilkins,DT,MIA,0,0%,43,68%,12,43%
25,Emmanuel Ogbah,DE,MIA,0,0%,42,67%,6,21%
26,Brandon Jones,SS,MIA,0,0%,39,62%,8,29%
27,Raekwon Davis,NT,MIA,0,0%,33,52%,6,21%
28,Adam Butler,DE,MIA,0,0%,31,49%,2,7%
29,Jason McCourty,FS,MIA,0,0%,28,44%,0,0%
30,Zach Sieler,DT,MIA,0,0%,26,41%,12,43%
31,Nik Needham,CB,MIA,0,0%,24,38%,9,32%
32,Brennan Scarlett,LB,MIA,0,0%,18,29%,23,82%
33,Jaelan Phillips,LB,MIA,0,0%,15,24%,0,0%
34,Jerome Baker,LB,MIA,0,0%,10,16%,0,0%
35,Duke Riley,LB,MIA,0,0%,6,10%,16,57%
36,Elijah Campbell,CB,MIA,0,0%,0,0%,23,82%
37,Clayton Fejedelem,SS,MIA,0,0%,0,0%,23,82%
