,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Demario Davis,NOR,0,0,0,0,1,2.0,10,7,3,4,3,0,0,0,0
1,Malcolm Jenkins,NOR,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
2,Cameron Jordan,NOR,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
3,Tanoh Kpassagnon,NOR,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
4,Pete Werner,NOR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
5,Chauncey Gardner-Johnson,NOR,0,0,0,0,1,0.0,5,2,3,0,1,0,0,0,0
6,Paulson Adebo,NOR,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0
7,Montravius Adams,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
8,Zack Baun,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
9,Josiah Bronson,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,J.T. Gray,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Marshon Lattimore,NOR,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
12,Christian Ringo,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Bradley Roby,NOR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
14,Shy Tuttle,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Marcus Williams,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
16,Kwon Alexander,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Marcus Davenport,NOR,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
18,Carl Granderson,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Lil'Jordan Humphrey,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Juwan Johnson,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Kevin White,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,P.J. Williams,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Jameis Winston,NOR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
26,Rasheem Green,SEA,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
27,Carlos Dunlap,SEA,0,0,0,0,0,0.5,5,2,3,0,1,0,0,0,0
28,Kerry Hyder,SEA,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
29,Bobby Wagner,SEA,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
30,Poona Ford,SEA,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
31,Quandre Diggs,SEA,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
32,Bryan Mone,SEA,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
33,Jordyn Brooks,SEA,0,0,0,0,1,0.0,4,2,2,0,0,1,5,0,0
34,Alton Robinson,SEA,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
35,Al Woods,SEA,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
36,Tre Brown,SEA,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
37,Jamal Adams,SEA,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
38,Ugo Amadi,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
39,Sidney Jones,SEA,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
40,Benson Mayowa,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
41,Ryan Neal,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
42,D.J. Reed,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
43,Cody Barton,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Nick Bellore,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Robert Nkemdiche,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
