,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,D.J. Humphries,T,ARI,59,100%,0,0%,3,14%
1,Josh Jones,G,ARI,59,100%,0,0%,3,14%
2,Kelvin Beachum,T,ARI,59,100%,0,0%,3,14%
3,Justin Pugh,G,ARI,59,100%,0,0%,3,14%
4,Kyler Murray,QB,ARI,59,100%,0,0%,0,0%
5,Sean Harlow,G,ARI,59,100%,0,0%,0,0%
6,A.J. Green,WR,ARI,56,95%,0,0%,0,0%
7,Christian Kirk,WR,ARI,46,78%,0,0%,0,0%
8,Zach Ertz,TE,ARI,43,73%,0,0%,0,0%
9,Rondale Moore,WR,ARI,36,61%,0,0%,8,36%
10,Chase Edmonds,RB,ARI,35,59%,0,0%,0,0%
11,Antoine Wesley,WR,ARI,31,53%,0,0%,0,0%
12,James Conner,RB,ARI,22,37%,0,0%,1,5%
13,DeAndre Hopkins,WR,ARI,15,25%,0,0%,0,0%
14,Demetrius Harris,TE,ARI,10,17%,0,0%,11,50%
15,Darrell Daniels,TE,ARI,1,2%,0,0%,6,27%
16,Jordan Hicks,LB,ARI,0,0%,73,100%,4,18%
17,Byron Murphy,CB,ARI,0,0%,73,100%,0,0%
18,Isaiah Simmons,LB,ARI,0,0%,71,97%,4,18%
19,Marco Wilson,CB,ARI,0,0%,70,96%,6,27%
20,Budda Baker,SS,ARI,0,0%,67,92%,0,0%
21,Jalen Thompson,FS,ARI,0,0%,64,88%,6,27%
22,Chandler Jones,LB,ARI,0,0%,62,85%,4,18%
23,Zach Allen,DE,ARI,0,0%,57,78%,4,18%
24,Jordan Phillips,DE,ARI,0,0%,50,68%,0,0%
25,Robert Alford,CB,ARI,0,0%,44,60%,7,32%
26,Markus Golden,LB,ARI,0,0%,43,59%,0,0%
27,Leki Fotu,DT,ARI,0,0%,37,51%,7,32%
28,Tanner Vallejo,LB,ARI,0,0%,29,40%,14,64%
29,Michael Dogbe,DE,ARI,0,0%,25,34%,4,18%
30,Josh Mauro,DE,ARI,0,0%,17,23%,0,0%
31,Devon Kennard,LB,ARI,0,0%,12,16%,0,0%
32,Dennis Gardeck,LB,ARI,0,0%,5,7%,19,86%
33,Zaven Collins,LB,ARI,0,0%,3,4%,0,0%
34,Deionte Thompson,SS,ARI,0,0%,1,1%,12,55%
35,Chris Banjo,FS,ARI,0,0%,0,0%,19,86%
36,Joe Walker,LB,ARI,0,0%,0,0%,19,86%
37,Antonio Hamilton,CB,ARI,0,0%,0,0%,15,68%
38,Victor Dimukeje,LB,ARI,0,0%,0,0%,15,68%
39,Jonathan Ward,RB,ARI,0,0%,0,0%,13,59%
40,Matt Prater,K,ARI,0,0%,0,0%,7,32%
41,James Wiggins,FS,ARI,0,0%,0,0%,7,32%
42,Aaron Brewer,LS,ARI,0,0%,0,0%,6,27%
43,Andy Lee,P,ARI,0,0%,0,0%,6,27%
44,Joshua Miles,T,ARI,0,0%,0,0%,3,14%
45,Danny Isidora,G,ARI,0,0%,0,0%,3,14%
0,Jon Runyan,G,GNB,73,100%,0,0%,4,18%
1,Royce Newman,T,GNB,73,100%,0,0%,1,5%
2,Aaron Rodgers,QB,GNB,73,100%,0,0%,0,0%
3,Lucas Patrick,G,GNB,73,100%,0,0%,0,0%
4,Billy Turner,T,GNB,73,100%,0,0%,0,0%
5,Elgton Jenkins,G,GNB,73,100%,0,0%,0,0%
6,Equanimeous St. Brown,WR,GNB,67,92%,0,0%,0,0%
7,Juwann Winfree,WR,GNB,54,74%,0,0%,0,0%
8,Randall Cobb,WR,GNB,50,68%,0,0%,0,0%
9,Aaron Jones,RB,GNB,48,66%,0,0%,0,0%
10,Robert Tonyan,TE,GNB,35,48%,0,0%,0,0%
11,Marcedes Lewis,TE,GNB,31,42%,0,0%,0,0%
12,AJ Dillon,RB,GNB,29,40%,0,0%,5,23%
13,Josiah Deguara,TE,GNB,16,22%,0,0%,15,68%
14,Amari Rodgers,WR,GNB,16,22%,0,0%,8,36%
15,Dominique Dafney,TE,GNB,14,19%,0,0%,12,55%
16,Malik Taylor,WR,GNB,5,7%,0,0%,15,68%
17,Eric Stokes,CB,GNB,0,0%,59,100%,0,0%
18,Rasul Douglas,CB,GNB,0,0%,59,100%,0,0%
19,Chandon Sullivan,CB,GNB,0,0%,59,100%,0,0%
20,Darnell Savage Jr.,SS,GNB,0,0%,59,100%,0,0%
21,De'Vondre Campbell,LB,GNB,0,0%,59,100%,0,0%
22,Adrian Amos,FS,GNB,0,0%,59,100%,0,0%
23,Kenny Clark,NT,GNB,0,0%,53,90%,0,0%
24,Krys Barnes,LB,GNB,0,0%,38,64%,6,27%
25,Rashan Gary,LB,GNB,0,0%,36,61%,0,0%
26,Preston Smith,LB,GNB,0,0%,35,59%,1,5%
27,Dean Lowry,DE,GNB,0,0%,29,49%,6,27%
28,Whitney Mercilus,DE,GNB,0,0%,29,49%,0,0%
29,Jonathan Garvin,LB,GNB,0,0%,25,42%,4,18%
30,Tyler Lancaster,NT,GNB,0,0%,15,25%,7,32%
31,Henry Black,SS,GNB,0,0%,13,22%,18,82%
32,Kingsley Keke,DE,GNB,0,0%,9,15%,1,5%
33,Oren Burks,LB,GNB,0,0%,7,12%,18,82%
34,Tedarrell Slaton,DT,GNB,0,0%,6,10%,7,32%
35,Ty Summers,LB,GNB,0,0%,0,0%,18,82%
36,Isaac Yiadom,CB,GNB,0,0%,0,0%,18,82%
37,Shemar Jean-Charles,CB,GNB,0,0%,0,0%,15,68%
38,Isaiah McDuffie,LB,GNB,0,0%,0,0%,11,50%
