,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Kevin Byard,TEN,1,14,0,14,3,0.0,4,4,0,0,0,0,0,0,0
1,Elijah Molden,TEN,1,2,1,2,2,0.0,2,2,0,0,0,0,0,0,0
2,Harold Landry,TEN,0,0,0,0,0,1.0,5,4,1,1,2,0,0,0,1
3,David Long,TEN,0,0,0,0,1,0.0,9,6,3,0,2,0,0,0,0
4,Monty Rice,TEN,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
5,Greg Mabin,TEN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,Amani Hooker,TEN,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
7,Janoris Jenkins,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
8,Eli Ankou,TEN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
9,Denico Autry,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
10,Nick Dzubnar,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Chris Jackson,TEN,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
12,Naquan Jones,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
13,Dane Cruikshank,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Bud Dupree,TEN,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
15,Joseph Jones,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
16,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Breon Borders,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Tory Carter,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Nate Davis,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Marcus Johnson,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Larrell Murchison,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Jeffery Simmons,TEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
23,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
24,Anthony Firkser,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
25,Derrick Henry,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
28,Tyquan Lewis,IND,1,8,0,8,1,1.0,1,1,0,1,2,0,0,0,0
29,Kenny Moore,IND,1,32,0,32,2,0.0,9,7,2,0,0,0,0,0,0
30,DeForest Buckner,IND,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
31,Kemoko Turay,IND,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
32,Bobby Okereke,IND,0,0,0,0,0,0.0,12,10,2,0,0,0,0,0,0
33,Darius Leonard,IND,0,0,0,0,1,0.0,8,5,3,1,0,0,0,0,0
34,Andrew Sendejo,IND,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,1
35,George Odum,IND,0,0,0,0,0,0.0,5,5,0,0,1,0,0,0,0
36,Grover Stewart,IND,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
37,Zaire Franklin,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Al-Quadin Muhammad,IND,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
39,Xavier Rhodes,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
40,E.J. Speed,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
41,Rock Ya-Sin,IND,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
42,Mo Alie-Cox,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Ashton Dulin,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Kwity Paye,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Antwaun Woods,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,Jonathan Taylor,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
