,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Josh Sweat,PHI,0,0,0,0,0,2.0,4,3,1,2,2,0,0,0,0
1,Milton Williams,PHI,0,0,0,0,0,1.0,4,4,0,2,1,0,0,0,0
2,Derek Barnett,PHI,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
3,Tarron Jackson,PHI,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,1
4,Hassan Ridgeway,PHI,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,1
5,T.J. Edwards,PHI,0,0,0,0,0,0.0,13,8,5,2,1,0,0,0,0
6,Marcus Epps,PHI,0,0,0,0,1,0.0,9,7,2,0,0,0,0,0,0
7,Davion Taylor,PHI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Avonte Maddox,PHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,1
9,Shaun Bradley,PHI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
10,Josiah Scott,PHI,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
11,Genard Avery,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Patrick Johnson,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Rodney McLeod,PHI,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
14,Marlon Tuipulotu,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Fletcher Cox,PHI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
16,Tay Gowan,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Javon Hargrave,PHI,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
18,Jordan Howard,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Steven Nelson,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Alex Singleton,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Darius Slay,PHI,0,0,0,0,0,0.0,1,1,0,0,0,1,33,1,0
22,Ryan Kerrigan,PHI,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
25,Derrick Barnes,DET,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
26,Austin Bryant,DET,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
27,Tracy Walker,DET,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
28,Charles Harris,DET,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
29,Dean Marlowe,DET,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
30,Alex Anzalone,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
31,Levi Onwuzurike,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
32,Amani Oruwariye,DET,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
33,Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
34,Michael Brockers,DET,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
35,Julian Okwara,DET,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
36,John Penisini,DET,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
37,Jalen Elliott,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Trey Flowers,DET,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
39,Will Harris,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
40,Alim McNeill,DET,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
41,C.J. Moore,DET,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
42,Bobby Price,DET,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
43,Nick Williams,DET,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
44,Josh Woods,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
45,Jerry Jacobs,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Jared Goff,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
47,Da'Shawn Hand,DET,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
48,Tommy Kraemer,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
