,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Randy Gregory,DAL,0,0,0,0,0,1.0,1,1,0,0,3,0,0,0,1
1,Micah Parsons,DAL,0,0,0,0,0,0.0,11,10,1,4,1,0,0,0,0
2,Jayron Kearse,DAL,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
3,Anthony Brown,DAL,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
4,Jourdan Lewis,DAL,0,0,0,0,0,0.0,5,5,0,0,1,0,0,0,0
5,Donovan Wilson,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
6,Justin Hamilton,DAL,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
7,Osa Odighizuwa,DAL,0,0,0,0,0,0.0,3,0,3,0,1,0,0,0,0
8,Leighton Vander Esch,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
10,Chauncey Golston,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Malik Hooker,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Damontae Kazee,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Carlos Watkins,DAL,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
14,Tarell Basham,DAL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
15,Trevon Diggs,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Blake Jarwin,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Keanu Neal,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Tony Pollard,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Xavier Woods,MIN,1,12,0,12,1,1.0,8,4,4,0,1,0,0,0,1
22,Eric Kendricks,MIN,0,0,0,0,1,1.0,6,5,1,1,1,0,0,0,0
23,Everson Griffen,MIN,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
24,Harrison Smith,MIN,0,0,0,0,1,0.0,9,7,2,0,0,0,0,0,1
25,Bashaud Breeland,MIN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
26,Cameron Dantzler,MIN,0,0,0,0,2,0.0,7,7,0,0,0,0,0,0,0
27,Anthony Barr,MIN,0,0,0,0,1,0.0,6,3,3,0,1,1,0,0,0
28,Danielle Hunter,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
29,Nick Vigil,MIN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
30,Sheldon Richardson,MIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
31,Dalvin Tomlinson,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
32,Armon Watts,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Mackensie Alexander,MIN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
34,D.J. Wonnum,MIN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
35,Kris Boyd,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Camryn Bynum,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Andrew DePaola,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Josh Metellus,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Kirk Cousins,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
