,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Adrian Phillips,NWE,2,38,1,26,2,0.0,3,1,2,0,1,0,0,0,0
1,Matt Judon,NWE,0,0,0,0,0,1.5,5,4,1,1,3,0,0,0,0
2,Lawrence Guy,NWE,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Christian Barmore,NWE,0,0,0,0,0,0.5,4,0,4,0,1,0,0,0,0
4,Kyle Dugger,NWE,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
5,Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
6,J.C. Jackson,NWE,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
7,Myles Bryant,NWE,0,0,0,0,1,0.0,3,2,1,0,1,0,0,0,0
8,Dont'a Hightower,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Devin McCourty,NWE,0,0,0,0,2,0.0,3,1,2,0,0,0,0,0,0
10,Jalen Mills,NWE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
11,Joejuan Williams,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
12,Deatrich Wise Jr.,NWE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
13,Calvin Munson,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Kyle Van Noy,NWE,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
15,Brandon Bolden,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Matthew Slater,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Jahlani Tavai,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Josh Uche,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Davon Godchaux,NWE,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
22,Jerry Tillery,LAC,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
23,Derwin James,LAC,0,0,0,0,0,0.0,13,7,6,1,0,0,0,0,1
24,Kyzir White,LAC,0,0,0,0,0,0.0,10,6,4,1,0,0,0,0,0
25,Nasir Adderley,LAC,0,0,0,0,1,0.0,7,5,2,0,0,1,0,0,0
26,Chris Harris Jr.,LAC,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
27,Linval Joseph,LAC,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
28,Christian Covington,LAC,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
29,Drue Tranquill,LAC,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
30,Asante Samuel Jr.,LAC,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Joey Bosa,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
32,Kyler Fackrell,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Alohi Gilman,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Stephen Anderson,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Tevaughn Campbell,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Justin Jones,LAC,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
37,Corey Linsley,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Trey Marshall,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Nick Niemann,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Uchenna Nwosu,LAC,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
41,Matt Overton,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Joe Gaziano,LAC,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
