,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,D.J. Moore,CAR,8,4,59,0,3,38,9.5,21,5.3,7.5,0,,0,0.0,0,74.5
1,Ameer Abdullah,CAR,5,3,35,0,2,-1,-0.3,36,12.0,1.4,0,,0,0.0,0,81.2
2,Tommy Tremble,CAR,4,3,18,0,2,15,5.0,3,1.0,8.8,0,,1,25.0,0,83.3
3,Chuba Hubbard,CAR,2,1,9,0,0,3,3.0,6,6.0,-1.0,0,,0,0.0,0,62.5
4,Shi Smith,CAR,1,1,-2,0,,-3,-3.0,1,1.0,-3.0,0,,0,0.0,0,79.2
5,Ian Thomas,CAR,1,1,10,0,,5,5.0,5,5.0,5.0,0,,0,0.0,0,108.3
6,Robby Anderson,CAR,1,0,0,0,,0,,0,,21.0,0,,0,0.0,0,39.6
7,Royce Freeman,CAR,1,0,0,0,0,0,,0,,-1.0,0,,1,100.0,0,39.6
8,Keith Kirkwood,CAR,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
10,Mike Davis,ATL,6,5,22,0,1,-12,-2.4,34,6.8,-2.8,1,5.0,0,0.0,0,81.9
11,Cordarrelle Patterson,ATL,5,5,37,1,3,15,3.0,22,4.4,3.0,1,5.0,0,0.0,0,137.1
12,Tajae Sharpe,ATL,6,5,58,0,5,50,10.0,8,1.6,13.8,0,,0,0.0,0,106.9
13,Hayden Hurst,ATL,3,2,4,0,,3,1.5,1,0.5,4.0,0,,0,0.0,1,30.6
14,Kyle Pitts,ATL,6,2,13,0,1,8,4.0,5,2.5,14.8,0,,0,0.0,1,2.8
15,Olamide Zaccheaus,ATL,1,1,12,0,1,12,12.0,0,0.0,12.0,0,,0,0.0,0,116.7
