,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Tyler Boyd,CIN,8,5,69,1,4,41,8.2,28,5.6,9.0,0,,0,0.0,0,129.7
1,Tee Higgins,CIN,6,4,97,0,2,74,18.5,23,5.8,16.8,0,,0,0.0,0,109.7
2,Joe Mixon,CIN,5,4,58,1,2,2,0.5,56,14.0,0.8,0,,0,0.0,0,154.6
3,C.J. Uzomah,CIN,4,4,33,0,2,7,1.8,26,6.5,1.8,0,,0,0.0,0,101.0
4,Ja'Marr Chase,CIN,9,3,32,1,2,10,3.3,22,7.3,3.2,0,,1,11.1,1,42.1
5,Samaje Perine,CIN,2,2,16,0,1,0,0.0,16,8.0,0.0,0,,0,0.0,0,100.0
7,Michael Carter,NYJ,14,9,95,0,5,-13,-1.4,108,12.0,0.1,2,4.5,1,7.1,1,54.2
8,Jamison Crowder,NYJ,9,8,84,0,2,44,5.5,40,5.0,6.1,0,,0,0.0,1,66.0
9,Elijah Moore,NYJ,6,6,67,0,3,34,5.7,33,5.5,5.7,0,,0,0.0,0,113.2
10,Ty Johnson,NYJ,6,5,71,1,4,-5,-1.0,76,15.2,-1.2,1,5.0,0,0.0,0,155.6
11,Keelan Cole,NYJ,5,3,25,0,2,22,7.3,3,1.0,6.8,0,,0,0.0,0,72.9
12,Braxton Berrios,NYJ,2,2,13,1,1,10,5.0,3,1.5,5.0,0,,0,0.0,0,133.3
13,Tyler Kroft,NYJ,2,2,20,1,2,19,9.5,1,0.5,9.5,0,,0,0.0,0,147.9
14,Denzel Mims,NYJ,3,2,30,0,2,3,1.5,27,13.5,3.0,0,,1,33.3,0,99.3
15,Ryan Griffin,NYJ,1,1,7,0,1,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8
16,Jeff Smith,NYJ,1,1,10,0,1,10,10.0,0,0.0,10.0,0,,0,0.0,0,108.3
