,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Najee Harris,PIT,26,91,6,49,1.9,42,1.6,1,26.0
1,Chase Claypool,PIT,2,16,1,16,8.0,0,0.0,0,
2,Kalen Ballage,PIT,1,-3,,-3,-3.0,0,0.0,0,
3,Ray-Ray McCloud,PIT,1,10,,10,10.0,0,0.0,0,
4,Anthony McFarland Jr.,PIT,1,1,,0,0.0,1,1.0,0,
5,Ben Roethlisberger,PIT,1,0,0,0,0.0,0,0.0,0,
7,Nick Chubb,CLE,16,61,4,30,1.9,31,1.9,0,
8,D'Ernest Johnson,CLE,4,22,1,15,3.8,7,1.8,0,
9,Demetric Felton,CLE,1,3,0,1,1.0,2,2.0,0,
10,Jarvis Landry,CLE,1,5,1,1,1.0,4,4.0,1,1.0
11,Baker Mayfield,CLE,1,5,1,5,5.0,0,0.0,0,
