,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Daryl Williams,T,BUF,73,100%,0,0%,4,17%
1,Dion Dawkins,T,BUF,73,100%,0,0%,4,17%
2,Ike Boettger,G,BUF,73,100%,0,0%,4,17%
3,Josh Allen,QB,BUF,73,100%,0,0%,0,0%
4,Mitch Morse,C,BUF,73,100%,0,0%,0,0%
5,Jon Feliciano,G,BUF,69,95%,0,0%,0,0%
6,Tommy Sweeney,TE,BUF,60,82%,0,0%,0,0%
7,Emmanuel Sanders,WR,BUF,56,77%,0,0%,0,0%
8,Stefon Diggs,WR,BUF,55,75%,0,0%,0,0%
9,Cole Beasley,WR,BUF,52,71%,0,0%,0,0%
10,Zack Moss,RB,BUF,47,64%,0,0%,0,0%
11,Gabriel Davis,WR,BUF,32,44%,0,0%,3,13%
12,Devin Singletary,RB,BUF,25,34%,0,0%,0,0%
13,Jake Kumerow,WR,BUF,13,18%,0,0%,16,67%
14,Isaiah McKenzie,WR,BUF,13,18%,0,0%,8,33%
15,Reggie Gilliam,FB,BUF,4,5%,0,0%,20,83%
16,Cody Ford,G,BUF,4,5%,0,0%,4,17%
17,Ryan Bates,C,BUF,4,5%,0,0%,4,17%
18,Kahale Warring,TE,BUF,3,4%,0,0%,0,0%
19,Taiwan Jones,RB,BUF,1,1%,0,0%,18,75%
20,Jordan Poyer,SS,BUF,0,0%,69,100%,10,42%
21,Tremaine Edmunds,LB,BUF,0,0%,69,100%,4,17%
22,Tre'Davious White,CB,BUF,0,0%,69,100%,4,17%
23,Micah Hyde,FS,BUF,0,0%,69,100%,2,8%
24,Taron Johnson,CB,BUF,0,0%,69,100%,2,8%
25,Levi Wallace,CB,BUF,0,0%,69,100%,2,8%
26,Matt Milano,LB,BUF,0,0%,69,100%,2,8%
27,Ed Oliver,DT,BUF,0,0%,45,65%,0,0%
28,Jerry Hughes,DE,BUF,0,0%,43,62%,0,0%
29,Mario Addison,DE,BUF,0,0%,40,58%,0,0%
30,Star Lotulelei,DT,BUF,0,0%,35,51%,2,8%
31,Gregory Rousseau,DE,BUF,0,0%,31,45%,4,17%
32,Vernon Butler,DT,BUF,0,0%,30,43%,4,17%
33,A.J. Epenesa,DE,BUF,0,0%,28,41%,10,42%
34,Harrison Phillips,DT,BUF,0,0%,24,35%,6,25%
35,Tyler Matakevich,LB,BUF,0,0%,0,0%,18,75%
36,Siran Neal,CB,BUF,0,0%,0,0%,16,67%
37,Jaquan Johnson,FS,BUF,0,0%,0,0%,16,67%
