,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,David Long,TEN,1,6,0,6,2,0.0,6,2,4,0,0,0,0,0,0
1,Kevin Byard,TEN,1,24,1,24,1,0.0,3,0,3,0,0,0,0,0,0
2,Jeffery Simmons,TEN,0,0,0,0,0,3.0,6,3,3,3,4,0,0,0,0
3,Denico Autry,TEN,0,0,0,0,2,1.5,3,2,1,1,3,0,0,0,0
4,Harold Landry,TEN,0,0,0,0,0,0.5,5,3,2,0,3,0,0,0,0
5,Amani Hooker,TEN,0,0,0,0,0,0.0,12,8,4,0,0,0,0,0,0
6,Elijah Molden,TEN,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
7,Jayon Brown,TEN,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
8,Chris Jackson,TEN,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
9,Janoris Jenkins,TEN,0,0,0,0,1,0.0,5,1,4,0,0,0,0,0,0
10,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Naquan Jones,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Monty Rice,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Teair Tart,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,A.J. Brown,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Dane Cruikshank,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Nick Dzubnar,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Chris Jones,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Larrell Murchison,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Bud Dupree,TEN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
22,Jalen Ramsey,LAR,1,6,0,6,1,0.0,3,3,0,1,0,0,0,0,0
23,Leonard Floyd,LAR,0,0,0,0,0,1.0,5,3,2,0,3,0,0,0,0
24,Aaron Donald,LAR,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
25,Greg Gaines,LAR,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0
26,Ogbonnia Okoronkwo,LAR,0,0,0,0,0,0.5,2,1,1,1,2,0,0,0,0
27,Jordan Fuller,LAR,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0
28,A'Shawn Robinson,LAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
29,Ernest Jones,LAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
30,Taylor Rapp,LAR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
31,Donte Deayon,LAR,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
32,Darious Williams,LAR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
33,Marquise Copeland,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Terrell Lewis,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
35,Troy Reeder,LAR,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
36,Robert Rochell,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
37,Antoine Brooks Jr.,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Austin Corbett,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Jamir Jones,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Nick Scott,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
