,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Camryn Bynum,MIN,1,27,0,27,1,0.0,12,8,4,0,0,0,0,0,0
1,Anthony Barr,MIN,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
2,Sheldon Richardson,MIN,0,0,0,0,0,1.5,4,3,1,2,2,0,0,0,0
3,Armon Watts,MIN,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0
4,Kenny Willekes,MIN,0,0,0,0,0,0.5,7,4,3,0,2,0,0,0,0
5,Eric Kendricks,MIN,0,0,0,0,0,0.0,18,9,9,0,0,0,0,0,0
6,Cameron Dantzler,MIN,0,0,0,0,0,0.0,10,10,0,0,0,0,0,0,0
7,Xavier Woods,MIN,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
8,Kris Boyd,MIN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
9,D.J. Wonnum,MIN,0,0,0,0,1,0.0,4,3,1,0,1,0,0,0,0
10,Everson Griffen,MIN,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
11,James Lynch,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
12,Dalvin Tomlinson,MIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
13,Mackensie Alexander,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Bashaud Breeland,MIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
15,Nick Vigil,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
16,Ryan Connelly,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Harrison Hand,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Josh Bynes,BAL,0,0,0,0,1,0.0,11,8,3,1,0,0,0,0,0
21,DeShon Elliott,BAL,0,0,0,0,0,0.0,6,6,0,2,0,0,0,0,0
22,Tyus Bowser,BAL,0,0,0,0,1,0.0,5,3,2,1,1,0,0,0,0
23,Patrick Queen,BAL,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
24,Calais Campbell,BAL,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
25,Chuck Clark,BAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
26,Justin Ellis,BAL,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
27,Justin Madubuike,BAL,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
28,Brandon Stephens,BAL,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
29,Chris Board,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
30,Broderick Washington Jr.,BAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
31,Tavon Young,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
32,Anthony Averett,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
33,Bradley Bozeman,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
34,Devonta Freeman,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Justin Houston,BAL,0,0,0,0,0,0.0,1,1,0,0,3,0,0,0,0
36,Marlon Humphrey,BAL,0,0,0,0,2,0.0,1,0,1,0,0,0,0,0,0
37,Pernell McPhee,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
