,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Budda Baker,ARI,1,7,0,7,1,0.0,7,2,5,0,0,0,0,0,0
1,Markus Golden,ARI,0,0,0,0,0,3.0,5,3,2,3,3,0,0,0,0
2,Chandler Jones,ARI,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
3,Jordan Phillips,ARI,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
4,Jordan Hicks,ARI,0,0,0,0,0,0.0,8,5,3,1,0,2,0,0,0
5,Isaiah Simmons,ARI,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,1
6,Jalen Thompson,ARI,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
7,Byron Murphy,ARI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,1
8,Marco Wilson,ARI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
9,Dennis Gardeck,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Tanner Vallejo,ARI,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
11,Robert Alford,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Zaven Collins,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
13,Zach Allen,ARI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
14,Chris Banjo,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Darrell Daniels,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Michael Dogbe,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Greg Dortch,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Andy Isabella,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Devon Kennard,ARI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
21,Josh Mauro,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,James Conner,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
25,Arik Armstead,SFO,0,0,0,0,0,1.0,10,2,8,1,1,0,0,0,0
26,Arden Key,SFO,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
27,Fred Warner,SFO,0,0,0,0,0,0.0,13,5,8,0,0,0,0,0,0
28,Azeez Al-Shaair,SFO,0,0,0,0,1,0.0,9,4,5,0,0,0,0,0,0
29,D.J. Jones,SFO,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0
30,Tavon Wilson,SFO,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
31,Emmanuel Moseley,SFO,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
32,Nick Bosa,SFO,0,0,0,0,0,0.0,4,3,1,1,2,0,0,0,1
33,Talanoa Hufanga,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
34,Jordan Willis,SFO,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
35,Dre Kirkpatrick,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
36,K'Waun Williams,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
37,Samson Ebukam,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Kevin Givens,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Dontae Johnson,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
40,Josh Norman,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
41,Trenton Cannon,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Jamycal Hasty,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Tony Jefferson,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Kyle Juszczyk,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Mohamed Sanu,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
47,Kentavius Street,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
48,Mitch Wishnowsky,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
