,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Mac Jones,NWE,12,18,139,1,1,2,17,41,85.2,2,4,0,2,0,0,0,0,0,1,1
1,Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,10,62,0,13,2,2,44,0,41,0,0
2,Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,8,54,0,16,2,2,27,0,28,1,0
3,Damien Harris,NWE,0,0,0,0,0,0,0,0,,15,30,1,8,1,1,3,0,3,0,0
4,Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,2,1,4,0,4,0,0
5,Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,18,0,0
6,Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,1,12,0,0
7,Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,8,0,8,0,0
8,Brian Hoyer,NWE,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0
11,Sam Darnold,CAR,16,33,172,0,3,1,10,33,26.3,3,9,0,4,0,0,0,0,0,1,0
12,Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,14,52,0,10,5,4,54,0,21,1,0
13,D.J. Moore,CAR,0,0,0,0,0,0,0,0,,2,14,0,10,7,3,32,0,13,0,0
14,Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,3,3,0,3,2,1,33,0,33,0,0
15,Ameer Abdullah,CAR,0,0,0,0,0,0,0,0,,1,0,0,0,5,4,30,0,12,0,0
16,Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
17,Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
18,Willie Snead,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
19,Robby Anderson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
20,Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
