,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jordan Love,GNB,19,34,190,1,1,1,11,35,69.5,5,23,0,8,0,0,0,0,0,1,0
1,Aaron Jones,GNB,0,0,0,0,0,0,0,0,,12,53,0,9,2,0,0,0,0,0,0
2,AJ Dillon,GNB,0,0,0,0,0,0,0,0,,8,46,0,15,4,4,44,0,21,0,0
3,Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,50,0,35,0,0
4,Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,14,6,42,0,14,0,0
5,Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,1,20,0,0
6,Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,16,0,0
7,Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0
8,Dominique Dafney,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
9,Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
12,Patrick Mahomes,KAN,20,37,166,1,0,1,6,25,74.8,2,-2,0,-1,0,0,0,0,0,0,0
13,Darrel Williams,KAN,0,0,0,0,0,0,0,0,,19,70,0,11,4,3,7,0,7,0,0
14,Derrick Gore,KAN,0,0,0,0,0,0,0,0,,3,13,0,7,1,1,6,0,6,0,0
15,Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,68,1,25,0,0
16,Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,14,0,0
17,Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,9,1,0
18,Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
19,Josh Gordon,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
20,Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
21,Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,-4,0,-4,11,4,37,0,13,0,0
