,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Derek Carr,LVR,30,46,296,1,2,1,10,24,72.4,2,5,0,4,0,0,0,0,0,1,1
1,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,13,76,0,14,4,4,19,0,8,0,0
2,Kenyan Drake,LVR,0,0,0,0,0,0,0,0,,4,30,0,21,8,6,70,0,22,0,0
3,Marcus Mariota,LVR,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
4,Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,92,0,24,0,0
5,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,49,1,20,1,0
6,Alec Ingold,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,0,15,0,0
7,Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,20,0,20,0,0
8,Jalen Richard,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,10,0,0
9,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
12,Daniel Jones,NYG,15,20,110,1,0,2,6,30,104.2,4,17,0,8,0,0,0,0,0,1,1
13,Kadarius Toney,NYG,0,0,0,0,0,1,6,0,,1,-2,0,-2,1,1,9,0,9,0,0
14,Devontae Booker,NYG,0,0,0,0,0,0,0,0,,21,99,0,20,3,3,23,0,12,0,0
15,Elijhaa Penny,NYG,0,0,0,0,0,0,0,0,,5,35,0,12,2,2,-8,0,-1,0,0
16,Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,1,30,0,0
17,Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,14,0,0
18,Kyle Rudolph,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,20,0,9,0,0
19,Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
