,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Justin Herbert,LAC,32,38,356,2,0,0,0,49,123.2,5,14,1,8,0,0,0,0,0,0,0
1,Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,17,59,0,16,3,3,23,0,14,0,0
2,Andre Roberts,LAC,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
3,Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,3,6,0,3,1,1,4,0,4,0,0
4,Larry Rountree,LAC,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
5,Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,104,0,18,0,0
6,Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,58,0,49,0,0
7,Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,48,0,23,0,0
8,Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,39,1,19,0,0
9,Stephen Anderson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,39,1,23,0,0
10,Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,15,0,0
11,Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,0,0
14,Jalen Hurts,PHI,11,17,162,1,0,1,7,28,115.3,10,62,0,12,0,0,0,0,0,0,0
15,Jordan Howard,PHI,0,0,0,0,0,0,0,0,,17,71,1,18,0,0,0,0,0,0,0
16,Boston Scott,PHI,0,0,0,0,0,0,0,0,,10,40,0,10,0,0,0,0,0,0,0
17,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,2,3,1,2,0,0,0,0,0,0,0
18,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,116,1,28,0,0
19,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,43,0,21,0,0
20,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,7,0,0
21,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-6,0,-6,0,0
