,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Dak Prescott,QB,DAL,62,100%,0,0%,0,0%
1,Zack Martin,G,DAL,62,100%,0,0%,0,0%
2,Terence Steele,T,DAL,62,100%,0,0%,0,0%
3,La'el Collins,T,DAL,62,100%,0,0%,0,0%
4,Connor Williams,G,DAL,62,100%,0,0%,0,0%
5,Tyler Biadasz,C,DAL,62,100%,0,0%,0,0%
6,Dalton Schultz,TE,DAL,59,95%,0,0%,0,0%
7,Cedrick Wilson Jr.,WR,DAL,51,82%,0,0%,4,17%
8,CeeDee Lamb,WR,DAL,44,71%,0,0%,1,4%
9,Amari Cooper,WR,DAL,36,58%,0,0%,0,0%
10,Ezekiel Elliott,RB,DAL,33,53%,0,0%,0,0%
11,Noah Brown,WR,DAL,25,40%,0,0%,17,74%
12,Tony Pollard,RB,DAL,24,39%,0,0%,11,48%
13,Malik Turner,WR,DAL,18,29%,0,0%,12,52%
14,Sean McKeon,TE,DAL,12,19%,0,0%,7,30%
15,Corey Clement,RB,DAL,5,8%,0,0%,17,74%
16,Jeremy Sprinkle,TE,DAL,3,5%,0,0%,12,52%
17,Jayron Kearse,FS,DAL,0,0%,78,100%,0,0%
18,Anthony Brown,CB,DAL,0,0%,76,97%,0,0%
19,Trevon Diggs,CB,DAL,0,0%,76,97%,0,0%
20,Micah Parsons,LB,DAL,0,0%,67,86%,0,0%
21,Leighton Vander Esch,LB,DAL,0,0%,51,65%,6,26%
22,Tarell Basham,DE,DAL,0,0%,49,63%,7,30%
23,Osa Odighizuwa,DT,DAL,0,0%,49,63%,6,26%
24,Jourdan Lewis,CB,DAL,0,0%,49,63%,0,0%
25,Randy Gregory,DE,DAL,0,0%,48,62%,6,26%
26,Damontae Kazee,SS,DAL,0,0%,43,55%,0,0%
27,Carlos Watkins,DE,DAL,0,0%,42,54%,0,0%
28,Justin Hamilton,DT,DAL,0,0%,40,51%,0,0%
29,Donovan Wilson,SS,DAL,0,0%,35,45%,5,22%
30,Keanu Neal,LB,DAL,0,0%,34,44%,8,35%
31,Malik Hooker,FS,DAL,0,0%,33,42%,1,4%
32,Dorance Armstrong Jr.,DE,DAL,0,0%,32,41%,1,4%
33,Chauncey Golston,DE,DAL,0,0%,30,38%,7,30%
34,Quinton Bohanna,DT,DAL,0,0%,24,31%,6,26%
35,Luke Gifford,LB,DAL,0,0%,2,3%,23,100%
