,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Joe Thuney,G,KAN,65,100%,0,0%,3,14%
1,Trey Smith,G,KAN,65,100%,0,0%,3,14%
2,Orlando Brown Jr.,T,KAN,65,100%,0,0%,3,14%
3,Creed Humphrey,C,KAN,65,100%,0,0%,3,14%
4,Patrick Mahomes,QB,KAN,65,100%,0,0%,0,0%
5,Travis Kelce,TE,KAN,56,86%,0,0%,0,0%
6,Tyreek Hill,WR,KAN,54,83%,0,0%,0,0%
7,Andrew Wylie,G,KAN,52,80%,0,0%,3,14%
8,Mecole Hardman,WR,KAN,42,65%,0,0%,5,23%
9,Darrel Williams,RB,KAN,35,54%,0,0%,6,27%
10,Byron Pringle,WR,KAN,30,46%,0,0%,6,27%
11,Blake Bell,TE,KAN,26,40%,0,0%,5,23%
12,Jerick McKinnon,RB,KAN,20,31%,0,0%,5,23%
13,Josh Gordon,WR,KAN,19,29%,0,0%,0,0%
14,Demarcus Robinson,WR,KAN,14,22%,0,0%,1,5%
15,Lucas Niang,T,KAN,13,20%,0,0%,0,0%
16,Derrick Gore,RB,KAN,10,15%,0,0%,1,5%
17,Michael Burton,FB,KAN,9,14%,0,0%,12,55%
18,Noah Gray,TE,KAN,7,11%,0,0%,19,86%
19,Marcus Kemp,WR,KAN,3,5%,0,0%,19,86%
20,Charvarius Ward,CB,KAN,0,0%,63,100%,0,0%
21,Tyrann Mathieu,SS,KAN,0,0%,63,100%,0,0%
22,Juan Thornhill,FS,KAN,0,0%,63,100%,0,0%
23,L'Jarius Sneed,CB,KAN,0,0%,61,97%,4,18%
24,Frank Clark,DE,KAN,0,0%,55,87%,0,0%
25,Chris Jones,DT,KAN,0,0%,45,71%,0,0%
26,Rashad Fenton,CB,KAN,0,0%,44,70%,4,18%
27,Willie Gay Jr.,LB,KAN,0,0%,41,65%,6,27%
28,Jarran Reed,DT,KAN,0,0%,40,63%,0,0%
29,Anthony Hitchens,LB,KAN,0,0%,31,49%,3,14%
30,Melvin Ingram,LB,KAN,0,0%,29,46%,0,0%
31,Nick Bolton,LB,KAN,0,0%,27,43%,0,0%
32,Ben Niemann,LB,KAN,0,0%,25,40%,19,86%
33,Tershawn Wharton,DT,KAN,0,0%,23,37%,3,14%
34,Daniel Sorensen,FS,KAN,0,0%,22,35%,6,27%
35,Michael Danna,DE,KAN,0,0%,22,35%,3,14%
36,Alex Okafor,DE,KAN,0,0%,21,33%,3,14%
37,Derrick Nnadi,DT,KAN,0,0%,17,27%,3,14%
38,Mike Hughes,CB,KAN,0,0%,1,2%,11,50%
39,Dorian O'Daniel,LB,KAN,0,0%,0,0%,19,86%
40,Chris Lammons,CB,KAN,0,0%,0,0%,18,82%
41,Armani Watts,SS,KAN,0,0%,0,0%,18,82%
42,Tommy Townsend,P,KAN,0,0%,0,0%,9,41%
43,James Winchester,LS,KAN,0,0%,0,0%,9,41%
44,Harrison Butker,K,KAN,0,0%,0,0%,7,32%
45,Nick Allegretti,G,KAN,0,0%,0,0%,3,14%
0,Royce Newman,T,GNB,63,100%,0,0%,3,14%
1,Jordan Love,QB,GNB,63,100%,0,0%,0,0%
2,Billy Turner,T,GNB,63,100%,0,0%,0,0%
3,Lucas Patrick,G,GNB,63,100%,0,0%,0,0%
4,Elgton Jenkins,G,GNB,63,100%,0,0%,0,0%
5,Jon Runyan,G,GNB,58,92%,0,0%,3,14%
6,Davante Adams,WR,GNB,58,92%,0,0%,0,0%
7,Allen Lazard,WR,GNB,53,84%,0,0%,0,0%
8,Aaron Jones,RB,GNB,40,63%,0,0%,0,0%
9,Marquez Valdes-Scantling,WR,GNB,34,54%,0,0%,0,0%
10,Randall Cobb,WR,GNB,33,52%,0,0%,0,0%
11,Marcedes Lewis,TE,GNB,29,46%,0,0%,0,0%
12,Dominique Dafney,TE,GNB,25,40%,0,0%,9,41%
13,AJ Dillon,RB,GNB,24,38%,0,0%,4,18%
14,Josiah Deguara,TE,GNB,15,24%,0,0%,7,32%
15,Jake Hanson,C,GNB,5,8%,0,0%,0,0%
16,Equanimeous St. Brown,WR,GNB,3,5%,0,0%,15,68%
17,Tyler Davis,TE,GNB,1,2%,0,0%,13,59%
18,Rasul Douglas,CB,GNB,0,0%,65,100%,12,55%
19,De'Vondre Campbell,LB,GNB,0,0%,65,100%,1,5%
20,Darnell Savage Jr.,SS,GNB,0,0%,65,100%,1,5%
21,Kevin King,CB,GNB,0,0%,65,100%,1,5%
22,Adrian Amos,FS,GNB,0,0%,65,100%,0,0%
23,Chandon Sullivan,CB,GNB,0,0%,53,82%,1,5%
24,Preston Smith,LB,GNB,0,0%,48,74%,1,5%
25,Rashan Gary,LB,GNB,0,0%,46,71%,0,0%
26,Tedarrell Slaton,DT,GNB,0,0%,45,69%,9,41%
27,Krys Barnes,LB,GNB,0,0%,42,65%,7,32%
28,Tyler Lancaster,NT,GNB,0,0%,36,55%,9,41%
29,Whitney Mercilus,DE,GNB,0,0%,30,46%,1,5%
30,Kenny Clark,NT,GNB,0,0%,24,37%,0,0%
31,Dean Lowry,DE,GNB,0,0%,22,34%,4,18%
32,Jonathan Garvin,LB,GNB,0,0%,20,31%,9,41%
33,Henry Black,SS,GNB,0,0%,10,15%,17,78%
34,Jack Heflin,DT,GNB,0,0%,10,15%,3,14%
35,Oren Burks,LB,GNB,0,0%,4,6%,19,87%
36,Ty Summers,LB,GNB,0,0%,0,0%,18,82%
37,Malik Taylor,WR,GNB,0,0%,0,0%,15,68%
38,Shemar Jean-Charles,CB,GNB,0,0%,0,0%,14,64%
39,Amari Rodgers,WR,GNB,0,0%,0,0%,12,55%
40,Patrick Taylor,RB,GNB,0,0%,0,0%,8,37%
41,Corey Bojorquez,P,GNB,0,0%,0,0%,7,32%
42,Steven Wirtel,LS,GNB,0,0%,0,0%,7,32%
43,Mason Crosby,K,GNB,0,0%,0,0%,5,23%
44,Yosuah Nijman,T,GNB,0,0%,0,0%,3,14%
45,Dennis Kelly,T,GNB,0,0%,0,0%,3,14%
