,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,James Hurst,T,NOR,76,100%,0,0%,3,11%
1,Ryan Ramczyk,T,NOR,76,100%,0,0%,3,11%
2,Cesar Ruiz,G,NOR,76,100%,0,0%,3,11%
3,Erik McCoy,C,NOR,76,100%,0,0%,0,0%
4,Terron Armstead,T,NOR,76,100%,0,0%,0,0%
5,Trevor Siemian,QB,NOR,73,96%,0,0%,0,0%
6,Adam Trautman,TE,NOR,67,88%,0,0%,3,11%
7,Tre'Quan Smith,WR,NOR,61,80%,0,0%,0,0%
8,Marquez Callaway,WR,NOR,60,79%,0,0%,0,0%
9,Alvin Kamara,RB,NOR,52,68%,0,0%,0,0%
10,Mark Ingram,RB,NOR,26,34%,0,0%,0,0%
11,Kenny Stills,WR,NOR,25,33%,0,0%,0,0%
12,Deonte Harris,WR,NOR,23,30%,0,0%,10,37%
13,Taysom Hill,QB,NOR,17,22%,0,0%,3,11%
14,Calvin Throckmorton,T,NOR,16,21%,0,0%,3,11%
15,Kevin White,WR,NOR,15,20%,0,0%,13,48%
16,Garrett Griffin,TE,NOR,11,14%,0,0%,11,41%
17,Alex Armah,RB,NOR,10,13%,0,0%,11,41%
18,Malcolm Jenkins,SS,NOR,0,0%,59,100%,2,7%
19,Demario Davis,LB,NOR,0,0%,59,100%,1,4%
20,Marcus Williams,FS,NOR,0,0%,59,100%,0,0%
21,Marshon Lattimore,CB,NOR,0,0%,58,98%,1,4%
22,Cameron Jordan,DE,NOR,0,0%,49,83%,6,22%
23,Kwon Alexander,LB,NOR,0,0%,46,78%,1,4%
24,Marcus Davenport,DE,NOR,0,0%,43,73%,6,22%
25,Paulson Adebo,CB,NOR,0,0%,39,66%,14,52%
26,David Onyemata,DT,NOR,0,0%,37,63%,5,19%
27,Shy Tuttle,DT,NOR,0,0%,32,54%,3,11%
28,P.J. Williams,CB,NOR,0,0%,30,51%,9,33%
29,Bradley Roby,CB,NOR,0,0%,28,47%,1,4%
30,Josiah Bronson,DT,NOR,0,0%,21,36%,0,0%
31,Tanoh Kpassagnon,DE,NOR,0,0%,17,29%,7,26%
32,Christian Ringo,DT,NOR,0,0%,17,29%,0,0%
33,Chauncey Gardner-Johnson,SS,NOR,0,0%,16,27%,3,11%
34,Payton Turner,DE,NOR,0,0%,15,25%,2,7%
35,Pete Werner,LB,NOR,0,0%,12,20%,15,56%
36,Kaden Elliss,LB,NOR,0,0%,11,19%,23,85%
37,J.T. Gray,SS,NOR,0,0%,1,2%,23,85%
38,Andrew Dowell,LB,NOR,0,0%,0,0%,23,85%
39,Zack Baun,LB,NOR,0,0%,0,0%,23,85%
40,Jeff Heath,SS,NOR,0,0%,0,0%,20,74%
41,Dwayne Washington,RB,NOR,0,0%,0,0%,18,67%
42,Brian Johnson,K,NOR,0,0%,0,0%,9,33%
43,Blake Gillikin,P,NOR,0,0%,0,0%,6,22%
44,Zach Wood,LS,NOR,0,0%,0,0%,6,22%
45,Jordan Mills,T,NOR,0,0%,0,0%,3,11%
46,Landon Young,T,NOR,0,0%,0,0%,3,11%
0,Kaleb McGary,T,ATL,59,100%,0,0%,5,19%
1,Jalen Mayfield,G,ATL,59,100%,0,0%,5,19%
2,Jake Matthews,T,ATL,59,100%,0,0%,5,19%
3,Chris Lindstrom,G,ATL,59,100%,0,0%,5,19%
4,Matt Ryan,QB,ATL,59,100%,0,0%,0,0%
5,Matt Hennessy,C,ATL,59,100%,0,0%,0,0%
6,Russell Gage,WR,ATL,48,81%,0,0%,0,0%
7,Tajae Sharpe,WR,ATL,47,80%,0,0%,0,0%
8,Kyle Pitts,TE,ATL,44,75%,0,0%,0,0%
9,Cordarrelle Patterson,RB,ATL,33,56%,0,0%,6,22%
10,Mike Davis,RB,ATL,33,56%,0,0%,0,0%
11,Olamide Zaccheaus,WR,ATL,29,49%,0,0%,5,19%
12,Hayden Hurst,TE,ATL,26,44%,0,0%,0,0%
13,Lee Smith,TE,ATL,17,29%,0,0%,5,19%
14,Keith Smith,FB,ATL,10,17%,0,0%,19,70%
15,Christian Blake,WR,ATL,3,5%,0,0%,17,63%
16,Jason Spriggs,T,ATL,3,5%,0,0%,5,19%
17,Feleipe Franks,QB,ATL,2,3%,0,0%,0,0%
18,Duron Harmon,SS,ATL,0,0%,76,100%,5,19%
19,Erik Harris,FS,ATL,0,0%,76,100%,5,19%
20,AJ Terrell,CB,ATL,0,0%,76,100%,3,11%
21,Fabian Moreau,CB,ATL,0,0%,76,100%,0,0%
22,Foyesade Oluokun,LB,ATL,0,0%,76,100%,0,0%
23,Deion Jones,LB,ATL,0,0%,76,100%,0,0%
24,Grady Jarrett,DT,ATL,0,0%,57,75%,0,0%
