,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Matt Peart,T,NYG,56,100%,0,0%,5,19%
1,Billy Price,C,NYG,56,100%,0,0%,5,19%
2,Nate Solder,T,NYG,56,100%,0,0%,5,19%
3,Will Hernandez,G,NYG,56,100%,0,0%,5,19%
4,Daniel Jones,QB,NYG,56,100%,0,0%,0,0%
5,Matt Skura,C,NYG,56,100%,0,0%,0,0%
6,Evan Engram,TE,NYG,46,82%,0,0%,0,0%
7,Devontae Booker,RB,NYG,41,73%,0,0%,0,0%
8,Kyle Rudolph,TE,NYG,31,55%,0,0%,5,19%
9,Kenny Golladay,WR,NYG,31,55%,0,0%,0,0%
10,Darius Slayton,WR,NYG,31,55%,0,0%,0,0%
11,Kadarius Toney,WR,NYG,31,55%,0,0%,0,0%
12,Collin Johnson,WR,NYG,21,38%,0,0%,14,54%
13,Elijhaa Penny,RB,NYG,16,29%,0,0%,16,62%
14,Korey Cunningham,T,NYG,13,23%,0,0%,5,19%
15,Kaden Smith,TE,NYG,10,18%,0,0%,5,19%
16,John Ross,WR,NYG,5,9%,0,0%,0,0%
17,Cullen Gillaspia,FB,NYG,2,4%,0,0%,21,81%
18,Pharoh Cooper,WR,NYG,2,4%,0,0%,13,50%
19,Tae Crowder,LB,NYG,0,0%,69,100%,2,8%
20,Logan Ryan,FS,NYG,0,0%,69,100%,0,0%
21,Adoree' Jackson,CB,NYG,0,0%,69,100%,0,0%
22,Xavier McKinney,FS,NYG,0,0%,69,100%,0,0%
23,James Bradberry,CB,NYG,0,0%,68,99%,5,19%
24,Leonard Williams,DT,NYG,0,0%,61,88%,5,19%
25,Azeez Ojulari,LB,NYG,0,0%,59,86%,0,0%
26,Quincy Roche,LB,NYG,0,0%,50,72%,8,31%
27,Darnay Holmes,CB,NYG,0,0%,44,64%,6,23%
28,Dexter Lawrence,DE,NYG,0,0%,41,59%,10,38%
29,Austin Johnson,NT,NYG,0,0%,33,48%,5,19%
30,Reggie Ragland,LB,NYG,0,0%,32,46%,13,50%
31,Trent Harris,LB,NYG,0,0%,24,35%,21,81%
32,Julian Love,SS,NYG,0,0%,22,32%,16,62%
33,Benardrick McKinney,LB,NYG,0,0%,21,30%,0,0%
34,Danny Shelton,NT,NYG,0,0%,10,14%,10,38%
35,Raymond Johnson,DE,NYG,0,0%,9,13%,0,0%
36,Aaron Robinson,CB,NYG,0,0%,7,10%,2,8%
37,Keion Crossen,CB,NYG,0,0%,1,1%,21,81%
38,Sam Beal,CB,NYG,0,0%,1,1%,0,0%
39,Cam Brown,LB,NYG,0,0%,0,0%,21,81%
40,J.R. Reed,SS,NYG,0,0%,0,0%,13,50%
41,Graham Gano,K,NYG,0,0%,0,0%,11,42%
42,Casey Kreiter,LS,NYG,0,0%,0,0%,8,31%
43,Riley Dixon,P,NYG,0,0%,0,0%,8,31%
44,Elerson Smith,LB,NYG,0,0%,0,0%,2,8%
0,Kolton Miller,T,LVR,69,100%,0,0%,5,19%
1,Brandon Parker,T,LVR,69,100%,0,0%,5,19%
2,Alex Leatherwood,T,LVR,69,100%,0,0%,5,19%
