,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Jordan Mailata,T,PHI,57,100%,0,0%,4,18%
1,Landon Dickerson,G,PHI,57,100%,0,0%,4,18%
2,Jack Driscoll,T,PHI,57,100%,0,0%,4,18%
3,Jason Kelce,C,PHI,57,100%,0,0%,0,0%
4,Lane Johnson,T,PHI,57,100%,0,0%,0,0%
5,Jalen Hurts,QB,PHI,57,100%,0,0%,0,0%
6,Quez Watkins,WR,PHI,55,96%,0,0%,4,18%
7,Dallas Goedert,TE,PHI,53,93%,0,0%,0,0%
8,DeVonta Smith,WR,PHI,44,77%,0,0%,0,0%
9,Jalen Reagor,WR,PHI,29,51%,0,0%,0,0%
10,Jack Stoll,TE,PHI,28,49%,0,0%,15,68%
11,Boston Scott,RB,PHI,25,44%,0,0%,0,0%
12,Jordan Howard,RB,PHI,23,40%,0,0%,8,36%
13,Tyree Jackson,TE,PHI,14,25%,0,0%,4,18%
14,Kenneth Gainwell,RB,PHI,11,19%,0,0%,0,0%
15,John Hightower,WR,PHI,2,4%,0,0%,9,41%
16,Greg Ward,WR,PHI,1,2%,0,0%,7,32%
17,Rodney McLeod,FS,PHI,0,0%,68,99%,2,9%
18,Steven Nelson,CB,PHI,0,0%,68,99%,0,0%
19,T.J. Edwards,LB,PHI,0,0%,66,96%,3,14%
20,Anthony Harris,FS,PHI,0,0%,62,90%,0,0%
21,Fletcher Cox,DT,PHI,0,0%,57,83%,0,0%
22,Derek Barnett,DE,PHI,0,0%,55,80%,4,18%
23,Javon Hargrave,DT,PHI,0,0%,52,75%,0,0%
24,Davion Taylor,LB,PHI,0,0%,49,71%,6,27%
25,Darius Slay,CB,PHI,0,0%,44,64%,0,0%
26,Josh Sweat,DE,PHI,0,0%,42,61%,0,0%
27,Milton Williams,DT,PHI,0,0%,31,45%,4,18%
28,Genard Avery,LB,PHI,0,0%,31,45%,4,18%
29,Marcus Epps,SS,PHI,0,0%,26,38%,12,55%
30,Zech McPhearson,CB,PHI,0,0%,24,35%,17,77%
31,Avonte Maddox,CB,PHI,0,0%,22,32%,3,14%
32,Hassan Ridgeway,DT,PHI,0,0%,18,26%,7,32%
33,Ryan Kerrigan,DE,PHI,0,0%,12,17%,0,0%
34,Andre Chachere,CB,PHI,0,0%,11,16%,17,77%
35,Alex Singleton,LB,PHI,0,0%,10,14%,18,82%
36,Tarron Jackson,DE,PHI,0,0%,8,12%,4,18%
37,Marlon Tuipulotu,DT,PHI,0,0%,3,4%,1,5%
38,K'Von Wallace,SS,PHI,0,0%,0,0%,18,82%
39,Shaun Bradley,LB,PHI,0,0%,0,0%,18,82%
40,Patrick Johnson,LB,PHI,0,0%,0,0%,14,64%
41,Jake Elliott,K,PHI,0,0%,0,0%,9,41%
